,AREA # 01,Banteay Meanchey,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,26513,26167,52680,,,,
, 5 - 9 years,28486,27457,55943,,,,
, 10 - 14 yrs,33112,31140,64252,,,,
, 15 - 19 yrs,30835,30179,61014,,,,
, 20 - 24 yrs,24355,25539,49894,,,,
, 25 - 29 yrs,20038,20235,40273,,,,
, 30 - 34 yrs,12614,13156,25770,,,,
, 35 - 39 yrs,14206,15151,29357,,,,
, 40 - 44 yrs,13471,15120,28591,,,,
, 45 - 49 yrs,12555,13905,26460,,,,
, 50 - 54 yrs,8122,11134,19256,,,,
, 55 - 59 yrs,6242,8442,14684,,,,
, 60 - 64 yrs,3992,5716,9708,,,,
, 65 - 69 yrs,3198,4518,7716,,,,
, 70 - 74 yrs,2152,3085,5237,,,,
, 75 - 79 yrs,1256,1968,3224,,,,
, 80+ yrs,877,1540,2417,,,,
, Total,242024,254452,496476,,,,
,,,,,,,,
,AREA # 02,Battambang,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,46830,44135,90965,,,,
, 5 - 9 years,49699,47242,96941,,,,
, 10 - 14 yrs,57434,54549,111983,,,,
, 15 - 19 yrs,56691,53108,109799,,,,
, 20 - 24 yrs,44462,43223,87685,,,,
, 25 - 29 yrs,35521,34227,69748,,,,
, 30 - 34 yrs,18749,18891,37640,,,,
, 35 - 39 yrs,23263,24921,48184,,,,
, 40 - 44 yrs,21890,24191,46081,,,,
, 45 - 49 yrs,20218,22747,42965,,,,
, 50 - 54 yrs,13892,18348,32240,,,,
, 55 - 59 yrs,10285,12970,23255,,,,
, 60 - 64 yrs,6903,8832,15735,,,,
, 65 - 69 yrs,5615,6931,12546,,,,
, 70 - 74 yrs,3655,4966,8621,,,,
, 75 - 79 yrs,2195,3325,5520,,,,
, 80+ yrs,1651,2762,4413,,,,
, Total,418953,425368,844321,,,,
,,,,,,,,
,AREA # 03,Kampong Cham,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,85075,80837,165912,,,,
, 5 - 9 years,90703,86384,177087,,,,
, 10 - 14 yrs,104847,98746,203593,,,,
, 15 - 19 yrs,93456,82804,176260,,,,
, 20 - 24 yrs,66534,67060,133594,,,,
, 25 - 29 yrs,62350,64576,126926,,,,
, 30 - 34 yrs,42023,46201,88224,,,,
, 35 - 39 yrs,48071,52180,100251,,,,
, 40 - 44 yrs,40091,46743,86834,,,,
, 45 - 49 yrs,34601,42211,76812,,,,
, 50 - 54 yrs,22385,36054,58439,,,,
, 55 - 59 yrs,19957,28041,47998,,,,
, 60 - 64 yrs,15698,20550,36248,,,,
, 65 - 69 yrs,12487,16483,28970,,,,
, 70 - 74 yrs,9535,13316,22851,,,,
, 75 - 79 yrs,7160,9764,16924,,,,
, 80+ yrs,6075,8752,14827,,,,
, Total,761048,800702,1561750,,,,
,,,,,,,,
,AREA # 04,Kampong Chhnang,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,24105,23540,47645,,,,
, 5 - 9 years,26365,25611,51976,,,,
, 10 - 14 yrs,29385,27998,57383,,,,
, 15 - 19 yrs,26762,24467,51229,,,,
, 20 - 24 yrs,19628,20047,39675,,,,
, 25 - 29 yrs,18134,18627,36761,,,,
, 30 - 34 yrs,8649,9354,18003,,,,
, 35 - 39 yrs,12405,13464,25869,,,,
, 40 - 44 yrs,10510,12857,23367,,,,
, 45 - 49 yrs,8884,11644,20528,,,,
, 50 - 54 yrs,5445,9846,15291,,,,
, 55 - 59 yrs,5073,8063,13136,,,,
, 60 - 64 yrs,3524,5493,9017,,,,
, 65 - 69 yrs,2936,4582,7518,,,,
, 70 - 74 yrs,2009,3291,5300,,,,
, 75 - 79 yrs,1411,2299,3710,,,,
, 80+ yrs,994,1809,2803,,,,
, Total,206219,222992,429211,,,,
,,,,,,,,
,AREA # 05,Kampong Speu,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,36987,35666,72653,,,,
, 5 - 9 years,42100,40576,82676,,,,
, 10 - 14 yrs,46483,43703,90186,,,,
, 15 - 19 yrs,42022,35722,77744,,,,
, 20 - 24 yrs,30803,32111,62914,,,,
, 25 - 29 yrs,28836,30161,58997,,,,
, 30 - 34 yrs,14818,16372,31190,,,,
, 35 - 39 yrs,18748,20554,39302,,,,
, 40 - 44 yrs,15192,19049,34241,,,,
, 45 - 49 yrs,13203,16549,29752,,,,
, 50 - 54 yrs,8449,13660,22109,,,,
, 55 - 59 yrs,7467,11020,18487,,,,
, 60 - 64 yrs,5752,7984,13736,,,,
, 65 - 69 yrs,4643,6533,11176,,,,
, 70 - 74 yrs,3054,4782,7836,,,,
, 75 - 79 yrs,2042,3311,5353,,,,
, 80+ yrs,1480,2607,4087,,,,
, Total,322079,340360,662439,,,,
,,,,,,,,
,AREA # 06,Kampong Thom,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,35218,33145,68363,,,,
, 5 - 9 years,37703,36086,73789,,,,
, 10 - 14 yrs,42181,40165,82346,,,,
, 15 - 19 yrs,36660,31372,68032,,,,
, 20 - 24 yrs,25382,25063,50445,,,,
, 25 - 29 yrs,24782,25917,50699,,,,
, 30 - 34 yrs,15591,17222,32813,,,,
, 35 - 39 yrs,17808,19723,37531,,,,
, 40 - 44 yrs,14636,17519,32155,,,,
, 45 - 49 yrs,12433,15464,27897,,,,
, 50 - 54 yrs,7349,12224,19573,,,,
, 55 - 59 yrs,6525,9999,16524,,,,
, 60 - 64 yrs,5061,7365,12426,,,,
, 65 - 69 yrs,4169,5918,10087,,,,
, 70 - 74 yrs,3128,4397,7525,,,,
, 75 - 79 yrs,2165,3010,5175,,,,
, 80+ yrs,1603,2555,4158,,,,
, Total,292394,307144,599538,,,,
,,,,,,,,
,AREA # 07,Kampot,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,28433,27062,55495,,,,
, 5 - 9 years,33814,32059,65873,,,,
, 10 - 14 yrs,37400,35624,73024,,,,
, 15 - 19 yrs,33686,30162,63848,,,,
, 20 - 24 yrs,23823,24867,48690,,,,
, 25 - 29 yrs,21076,22096,43172,,,,
, 30 - 34 yrs,12544,14074,26618,,,,
, 35 - 39 yrs,16702,18195,34897,,,,
, 40 - 44 yrs,13906,16394,30300,,,,
, 45 - 49 yrs,11355,13624,24979,,,,
, 50 - 54 yrs,7097,11558,18655,,,,
, 55 - 59 yrs,5977,9059,15036,,,,
, 60 - 64 yrs,4904,6818,11722,,,,
, 65 - 69 yrs,4114,5884,9998,,,,
, 70 - 74 yrs,2679,4155,6834,,,,
, 75 - 79 yrs,1774,3010,4784,,,,
, 80+ yrs,1248,2403,3651,,,,
, Total,260532,277044,537576,,,,
,,,,,,,,
,AREA # 08,Kandal,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,54490,51397,105887,,,,
, 5 - 9 years,55728,52928,108656,,,,
, 10 - 14 yrs,66981,62451,129432,,,,
, 15 - 19 yrs,69021,62625,131646,,,,
, 20 - 24 yrs,54959,55678,110637,,,,
, 25 - 29 yrs,49894,51143,101037,,,,
, 30 - 34 yrs,25880,27008,52888,,,,
, 35 - 39 yrs,30978,33034,64012,,,,
, 40 - 44 yrs,26215,30932,57147,,,,
, 45 - 49 yrs,22809,28870,51679,,,,
, 50 - 54 yrs,15453,24589,40042,,,,
, 55 - 59 yrs,14007,20260,34267,,,,
, 60 - 64 yrs,10685,14766,25451,,,,
, 65 - 69 yrs,7959,11205,19164,,,,
, 70 - 74 yrs,6573,9710,16283,,,,
, 75 - 79 yrs,4676,6915,11591,,,,
, 80+ yrs,3815,5748,9563,,,,
, Total,520123,549259,1069382,,,,
,,,,,,,,
,AREA # 09,Koh Kong,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,4927,4614,9541,,,,
, 5 - 9 years,5251,5010,10261,,,,
, 10 - 14 yrs,5534,5311,10845,,,,
, 15 - 19 yrs,5023,4711,9734,,,,
, 20 - 24 yrs,4056,3808,7864,,,,
, 25 - 29 yrs,3578,3168,6746,,,,
, 30 - 34 yrs,1951,1914,3865,,,,
, 35 - 39 yrs,2805,2627,5432,,,,
, 40 - 44 yrs,2576,2410,4986,,,,
, 45 - 49 yrs,2067,1971,4038,,,,
, 50 - 54 yrs,1213,1452,2665,,,,
, 55 - 59 yrs,830,1047,1877,,,,
, 60 - 64 yrs,552,684,1236,,,,
, 65 - 69 yrs,421,536,957,,,,
, 70 - 74 yrs,289,385,674,,,,
, 75 - 79 yrs,146,262,408,,,,
, 80+ yrs,110,189,299,,,,
, Total,41329,40099,81428,,,,
,,,,,,,,
,AREA # 10,Kratie,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,17798,17122,34920,,,,
, 5 - 9 years,18303,17863,36166,,,,
, 10 - 14 yrs,18632,17771,36403,,,,
, 15 - 19 yrs,16333,14904,31237,,,,
, 20 - 24 yrs,11655,11522,23177,,,,
, 25 - 29 yrs,11989,11604,23593,,,,
, 30 - 34 yrs,8538,8540,17078,,,,
, 35 - 39 yrs,9910,9387,19297,,,,
, 40 - 44 yrs,7213,7496,14709,,,,
, 45 - 49 yrs,5815,6373,12188,,,,
, 50 - 54 yrs,4067,5439,9506,,,,
, 55 - 59 yrs,3397,4188,7585,,,,
, 60 - 64 yrs,2466,2935,5401,,,,
, 65 - 69 yrs,1994,2408,4402,,,,
, 70 - 74 yrs,1390,1878,3268,,,,
, 75 - 79 yrs,956,1359,2315,,,,
, 80+ yrs,803,1205,2008,,,,
, Total,141259,141994,283253,,,,
,,,,,,,,
,AREA # 11,Mondul Kiri,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,4115,3878,7993,,,,
, 5 - 9 years,4009,3919,7928,,,,
, 10 - 14 yrs,3717,3608,7325,,,,
, 15 - 19 yrs,3089,2990,6079,,,,
, 20 - 24 yrs,2661,2570,5231,,,,
, 25 - 29 yrs,2695,2299,4994,,,,
, 30 - 34 yrs,1736,1611,3347,,,,
, 35 - 39 yrs,1917,1688,3605,,,,
, 40 - 44 yrs,1516,1327,2843,,,,
, 45 - 49 yrs,1175,1125,2300,,,,
, 50 - 54 yrs,693,807,1500,,,,
, 55 - 59 yrs,507,558,1065,,,,
, 60 - 64 yrs,331,427,758,,,,
