,AREA # 01,Banteay Meanchey,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,8879,8542,17421,,,,
, 5 - 9 years,9372,8758,18130,,,,
, 10 - 14 yrs,10295,9845,20140,,,,
, 15 - 19 yrs,11416,11783,23199,,,,
, 20 - 24 yrs,10602,11564,22166,,,,
, 25 - 29 yrs,9774,9337,19111,,,,
, 30 - 34 yrs,5133,4990,10123,,,,
, 35 - 39 yrs,6002,5830,11832,,,,
, 40 - 44 yrs,5162,5092,10254,,,,
, 45 - 49 yrs,4554,4674,9228,,,,
, 50 - 54 yrs,3059,3756,6815,,,,
, 55 - 59 yrs,2132,2691,4823,,,,
, 60 - 64 yrs,1323,1795,3118,,,,
, 65 - 69 yrs,855,1213,2068,,,,
, 70 - 74 yrs,519,851,1370,,,,
, 75 - 79 yrs,350,524,874,,,,
, 80+ yrs,264,460,724,,,,
, Total,89691,91705,181396,,,,
,,,,,,,,
,AREA # 02,Battambang,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,7697,7222,14919,,,,
, 5 - 9 years,8409,8112,16521,,,,
, 10 - 14 yrs,10787,10171,20958,,,,
, 15 - 19 yrs,12504,12354,24858,,,,
, 20 - 24 yrs,10805,10953,21758,,,,
, 25 - 29 yrs,8357,8493,16850,,,,
, 30 - 34 yrs,3991,4248,8239,,,,
, 35 - 39 yrs,5032,5863,10895,,,,
, 40 - 44 yrs,4613,5384,9997,,,,
, 45 - 49 yrs,4284,5015,9299,,,,
, 50 - 54 yrs,3137,4570,7707,,,,
, 55 - 59 yrs,2559,3379,5938,,,,
, 60 - 64 yrs,1848,2440,4288,,,,
, 65 - 69 yrs,1352,2006,3358,,,,
, 70 - 74 yrs,956,1410,2366,,,,
, 75 - 79 yrs,609,954,1563,,,,
, 80+ yrs,458,881,1339,,,,
, Total,87398,93455,180853,,,,
,,,,,,,,
,AREA # 03,Kampong Cham,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,5283,4936,10219,,,,
, 5 - 9 years,5470,5248,10718,,,,
, 10 - 14 yrs,6736,6413,13149,,,,
, 15 - 19 yrs,7687,7067,14754,,,,
, 20 - 24 yrs,6140,6198,12338,,,,
, 25 - 29 yrs,5302,5574,10876,,,,
, 30 - 34 yrs,3227,3694,6921,,,,
, 35 - 39 yrs,4082,4204,8286,,,,
, 40 - 44 yrs,3472,3608,7080,,,,
, 45 - 49 yrs,2917,3397,6314,,,,
, 50 - 54 yrs,2054,3025,5079,,,,
, 55 - 59 yrs,1716,2166,3882,,,,
, 60 - 64 yrs,1130,1519,2649,,,,
, 65 - 69 yrs,787,1144,1931,,,,
, 70 - 74 yrs,667,989,1656,,,,
, 75 - 79 yrs,475,747,1222,,,,
, 80+ yrs,469,699,1168,,,,
, Total,57614,60628,118242,,,,
,,,,,,,,
,AREA # 04,Kampong Chhnang,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,1798,1684,3482,,,,
, 5 - 9 years,2012,1899,3911,,,,
, 10 - 14 yrs,2613,2494,5107,,,,
, 15 - 19 yrs,2929,2914,5843,,,,
, 20 - 24 yrs,2421,2502,4923,,,,
, 25 - 29 yrs,2039,2148,4187,,,,
, 30 - 34 yrs,905,913,1818,,,,
, 35 - 39 yrs,1265,1337,2602,,,,
, 40 - 44 yrs,1197,1251,2448,,,,
, 45 - 49 yrs,1136,1281,2417,,,,
, 50 - 54 yrs,754,1132,1886,,,,
, 55 - 59 yrs,639,938,1577,,,,
, 60 - 64 yrs,392,576,968,,,,
, 65 - 69 yrs,254,421,675,,,,
, 70 - 74 yrs,182,364,546,,,,
, 75 - 79 yrs,136,256,392,,,,
, 80+ yrs,116,232,348,,,,
, Total,20788,22342,43130,,,,
,,,,,,,,
,AREA # 05,Kampong Speu,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,2380,2307,4687,,,,
, 5 - 9 years,2608,2582,5190,,,,
, 10 - 14 yrs,3251,3170,6421,,,,
, 15 - 19 yrs,4206,3754,7960,,,,
, 20 - 24 yrs,3146,3071,6217,,,,
, 25 - 29 yrs,2544,2769,5313,,,,
, 30 - 34 yrs,1090,1141,2231,,,,
, 35 - 39 yrs,1542,1700,3242,,,,
, 40 - 44 yrs,1487,1637,3124,,,,
, 45 - 49 yrs,1320,1578,2898,,,,
, 50 - 54 yrs,911,1282,2193,,,,
, 55 - 59 yrs,677,979,1656,,,,
, 60 - 64 yrs,451,637,1088,,,,
, 65 - 69 yrs,321,502,823,,,,
, 70 - 74 yrs,200,411,611,,,,
, 75 - 79 yrs,149,289,438,,,,
, 80+ yrs,150,263,413,,,,
, Total,26433,28072,54505,,,,
,,,,,,,,
,AREA # 06,Kampong Thom,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,1387,1347,2734,,,,
, 5 - 9 years,1464,1437,2901,,,,
, 10 - 14 yrs,1899,1778,3677,,,,
, 15 - 19 yrs,2313,2249,4562,,,,
, 20 - 24 yrs,1464,1533,2997,,,,
, 25 - 29 yrs,1327,1548,2875,,,,
, 30 - 34 yrs,787,931,1718,,,,
, 35 - 39 yrs,1055,1180,2235,,,,
, 40 - 44 yrs,970,959,1929,,,,
, 45 - 49 yrs,763,864,1627,,,,
, 50 - 54 yrs,565,812,1377,,,,
, 55 - 59 yrs,440,601,1041,,,,
, 60 - 64 yrs,309,405,714,,,,
, 65 - 69 yrs,200,282,482,,,,
, 70 - 74 yrs,167,254,421,,,,
, 75 - 79 yrs,115,188,303,,,,
, 80+ yrs,105,173,278,,,,
, Total,15330,16541,31871,,,,
,,,,,,,,
,AREA # 07,Kampot,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,1907,1783,3690,,,,
, 5 - 9 years,2245,2042,4287,,,,
, 10 - 14 yrs,2888,2625,5513,,,,
, 15 - 19 yrs,3325,3344,6669,,,,
, 20 - 24 yrs,2734,2763,5497,,,,
, 25 - 29 yrs,2205,2152,4357,,,,
, 30 - 34 yrs,1021,1121,2142,,,,
, 35 - 39 yrs,1652,1696,3348,,,,
, 40 - 44 yrs,1498,1590,3088,,,,
, 45 - 49 yrs,1362,1422,2784,,,,
, 50 - 54 yrs,867,1200,2067,,,,
, 55 - 59 yrs,647,912,1559,,,,
, 60 - 64 yrs,440,626,1066,,,,
, 65 - 69 yrs,331,482,813,,,,
, 70 - 74 yrs,209,389,598,,,,
, 75 - 79 yrs,121,289,410,,,,
, 80+ yrs,139,247,386,,,,
, Total,23591,24683,48274,,,,
,,,,,,,,
,AREA # 08,Kandal,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,8156,7557,15713,,,,
, 5 - 9 years,8252,7699,15951,,,,
, 10 - 14 yrs,9915,9183,19098,,,,
, 15 - 19 yrs,12563,14209,26772,,,,
, 20 - 24 yrs,12256,15805,28061,,,,
, 25 - 29 yrs,11007,12739,23746,,,,
, 30 - 34 yrs,4853,5158,10011,,,,
, 35 - 39 yrs,6092,6130,12222,,,,
, 40 - 44 yrs,5160,5377,10537,,,,
, 45 - 49 yrs,4447,4944,9391,,,,
, 50 - 54 yrs,2914,4123,7037,,,,
, 55 - 59 yrs,2287,3307,5594,,,,
, 60 - 64 yrs,1642,2240,3882,,,,
, 65 - 69 yrs,1120,1739,2859,,,,
, 70 - 74 yrs,869,1382,2251,,,,
, 75 - 79 yrs,538,886,1424,,,,
, 80+ yrs,498,851,1349,,,,
, Total,92569,103329,195898,,,,
,,,,,,,,
,AREA # 09,Koh Kong,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,1766,1716,3482,,,,
, 5 - 9 years,1969,1799,3768,,,,
, 10 - 14 yrs,2378,2388,4766,,,,
, 15 - 19 yrs,2446,2264,4710,,,,
, 20 - 24 yrs,1787,1821,3608,,,,
, 25 - 29 yrs,1630,1625,3255,,,,
, 30 - 34 yrs,901,885,1786,,,,
, 35 - 39 yrs,1259,1236,2495,,,,
, 40 - 44 yrs,1222,1216,2438,,,,
, 45 - 49 yrs,1070,977,2047,,,,
, 50 - 54 yrs,613,748,1361,,,,
, 55 - 59 yrs,400,496,896,,,,
, 60 - 64 yrs,219,303,522,,,,
, 65 - 69 yrs,174,237,411,,,,
, 70 - 74 yrs,82,141,223,,,,
, 75 - 79 yrs,49,102,151,,,,
, 80+ yrs,33,101,134,,,,
, Total,17998,18055,36053,,,,
,,,,,,,,
,AREA # 10,Kratie,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,1806,1683,3489,,,,
, 5 - 9 years,1807,1749,3556,,,,
, 10 - 14 yrs,2108,2069,4177,,,,
, 15 - 19 yrs,2216,2127,4343,,,,
, 20 - 24 yrs,1731,1637,3368,,,,
, 25 - 29 yrs,1585,1630,3215,,,,
, 30 - 34 yrs,1047,1159,2206,,,,
, 35 - 39 yrs,1427,1282,2709,,,,
, 40 - 44 yrs,1153,1074,2227,,,,
, 45 - 49 yrs,875,895,1770,,,,
, 50 - 54 yrs,650,817,1467,,,,
, 55 - 59 yrs,514,599,1113,,,,
, 60 - 64 yrs,332,392,724,,,,
, 65 - 69 yrs,261,308,569,,,,
, 70 - 74 yrs,152,277,429,,,,
, 75 - 79 yrs,127,192,319,,,,
, 80+ yrs,96,187,283,,,,
, Total,17887,18077,35964,,,,
,,,,,,,,
,AREA # 11,Mondul Kiri,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 0 - 4 years,241,230,471,,,,
, 5 - 9 years,199,169,368,,,,
, 10 - 14 yrs,307,288,595,,,,
, 15 - 19 yrs,376,385,761,,,,
, 20 - 24 yrs,349,228,577,,,,
, 25 - 29 yrs,299,243,542,,,,
, 30 - 34 yrs,160,134,294,,,,
, 35 - 39 yrs,207,173,380,,,,
, 40 - 44 yrs,176,126,302,,,,
, 45 - 49 yrs,135,93,228,,,,
, 50 - 54 yrs,45,68,113,,,,
, 55 - 59 yrs,42,57,99,,,,
, 60 - 64 yrs,24,31,55,,,,
, 65 - 69 yrs,21,11,32,,,,
, 70 - 74 yrs,10,14,24,,,,
, 75 - 79 yrs,1,8,9,,,,
, 80+ yrs,4,5,9,,,,
, Total,2596,2263,4859,,,,
,,,,,,,,
,AREA # 12,Phnom Penh,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
