"LOCATION","Country","HP","Provider","HF","Financing Agent","HC","Function","ICD","Diagnostic Category","AGE","Age Group","GEN","Gender","UNI","Unit","YR","Year","Value","Flag Codes","Flags"
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA100","Infectious and parasitic diseases","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.222908251055881,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA100","Infectious and parasitic diseases","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.262989204494802,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA100","Infectious and parasitic diseases","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.102480622293871,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA100","Infectious and parasitic diseases","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.0597691025197395,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA200","Neoplasms","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.00598102634412065,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA200","Neoplasms","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.0108252214925221,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA200","Neoplasms","0","0","T","Total","PARCUR","% current expenditure on health","2007","2007",0.00413864051571402,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA200","Neoplasms","0","0","T","Total","PARCUR","% current expenditure on health","2011","2011",0.00224695874134359,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA300","Diseases of the blood and bloodforming organs","0","0","T","Total","PARCUR","% current expenditure on health","2003","2003",0.00253043422251258,,
"NLD","Netherlands","HPTOT","Total expenditure HP.1-HP.9","HFTOT","Total expenditure HF.1-HF.3","HCTOT","Total current expenditure HC.1-HC.9 (Individual and collective health care)","DICDA300","Diseases of the blood and bloodforming organs","0","0","T","Total","PARCUR","% current expenditure on health","2005","2005",0.00254711093941697,,
