Area,Age,Ethnic group,Sex,Year at 30 June,Value,Flags
"Northland region","0-4 years","Total people, ethnic group","Male","1996",6230,
"Northland region","0-4 years","Total people, ethnic group","Female","1996",5900,
"Auckland region","0-4 years","Total people, ethnic group","Male","1996",46970,
"Auckland region","0-4 years","Total people, ethnic group","Female","1996",44190,
"Waikato region","0-4 years","Total people, ethnic group","Male","1996",15800,
"Waikato region","0-4 years","Total people, ethnic group","Female","1996",14530,
"Bay of Plenty region","0-4 years","Total people, ethnic group","Male","1996",10230,
"Bay of Plenty region","0-4 years","Total people, ethnic group","Female","1996",9390,
"Gisborne region","0-4 years","Total people, ethnic group","Male","1996",2330,
"Gisborne region","0-4 years","Total people, ethnic group","Female","1996",2110,
"Hawke's Bay region","0-4 years","Total people, ethnic group","Male","1996",6340,
"Hawke's Bay region","0-4 years","Total people, ethnic group","Female","1996",5760,
"Taranaki region","0-4 years","Total people, ethnic group","Male","1996",4430,
"Taranaki region","0-4 years","Total people, ethnic group","Female","1996",4190,
"Manawatu-Wanganui region","0-4 years","Total people, ethnic group","Male","1996",9650,
"Manawatu-Wanganui region","0-4 years","Total people, ethnic group","Female","1996",9220,
"Wellington region","0-4 years","Total people, ethnic group","Male","1996",17010,
"Wellington region","0-4 years","Total people, ethnic group","Female","1996",16090,
"Tasman region","0-4 years","Total people, ethnic group","Male","1996",1510,
"Tasman region","0-4 years","Total people, ethnic group","Female","1996",1370,
"Nelson region","0-4 years","Total people, ethnic group","Male","1996",1490,
"Nelson region","0-4 years","Total people, ethnic group","Female","1996",1380,
"Marlborough region","0-4 years","Total people, ethnic group","Male","1996",1430,
"Marlborough region","0-4 years","Total people, ethnic group","Female","1996",1380,
"West Coast region","0-4 years","Total people, ethnic group","Male","1996",1400,
"West Coast region","0-4 years","Total people, ethnic group","Female","1996",1310,
"Canterbury region","0-4 years","Total people, ethnic group","Male","1996",16900,
"Canterbury region","0-4 years","Total people, ethnic group","Female","1996",16000,
"Otago region","0-4 years","Total people, ethnic group","Male","1996",6450,
"Otago region","0-4 years","Total people, ethnic group","Female","1996",6030,
"Southland region","0-4 years","Total people, ethnic group","Male","1996",4040,
"Southland region","0-4 years","Total people, ethnic group","Female","1996",3570,
"Northland region","5-9 years","Total people, ethnic group","Male","1996",6820,
"Northland region","5-9 years","Total people, ethnic group","Female","1996",6330,
"Auckland region","5-9 years","Total people, ethnic group","Male","1996",44870,
"Auckland region","5-9 years","Total people, ethnic group","Female","1996",42560,
"Waikato region","5-9 years","Total people, ethnic group","Male","1996",15610,
"Waikato region","5-9 years","Total people, ethnic group","Female","1996",15150,
"Bay of Plenty region","5-9 years","Total people, ethnic group","Male","1996",10220,
"Bay of Plenty region","5-9 years","Total people, ethnic group","Female","1996",9740,
"Gisborne region","5-9 years","Total people, ethnic group","Male","1996",2360,
"Gisborne region","5-9 years","Total people, ethnic group","Female","1996",2230,
"Hawke's Bay region","5-9 years","Total people, ethnic group","Male","1996",6300,
"Hawke's Bay region","5-9 years","Total people, ethnic group","Female","1996",6190,
"Taranaki region","5-9 years","Total people, ethnic group","Male","1996",4830,
"Taranaki region","5-9 years","Total people, ethnic group","Female","1996",4590,
"Manawatu-Wanganui region","5-9 years","Total people, ethnic group","Male","1996",9860,
"Manawatu-Wanganui region","5-9 years","Total people, ethnic group","Female","1996",9430,
"Wellington region","5-9 years","Total people, ethnic group","Male","1996",16760,
"Wellington region","5-9 years","Total people, ethnic group","Female","1996",15840,
"Tasman region","5-9 years","Total people, ethnic group","Male","1996",1630,
"Tasman region","5-9 years","Total people, ethnic group","Female","1996",1560,
"Nelson region","5-9 years","Total people, ethnic group","Male","1996",1520,
"Nelson region","5-9 years","Total people, ethnic group","Female","1996",1450,
"Marlborough region","5-9 years","Total people, ethnic group","Male","1996",1550,
"Marlborough region","5-9 years","Total people, ethnic group","Female","1996",1450,
"West Coast region","5-9 years","Total people, ethnic group","Male","1996",1430,
"West Coast region","5-9 years","Total people, ethnic group","Female","1996",1340,
"Canterbury region","5-9 years","Total people, ethnic group","Male","1996",17260,
