Area,Age,Ethnic group,Sex,Year at 30 June,Value,Flags
"Far North district","0-4 years","Total people, ethnic group","Male","1996",2520,
"Far North district","0-4 years","Total people, ethnic group","Female","1996",2390,
"Whangarei district","0-4 years","Total people, ethnic group","Male","1996",2960,
"Whangarei district","0-4 years","Total people, ethnic group","Female","1996",2760,
"Kaipara district","0-4 years","Total people, ethnic group","Male","1996",750,
"Kaipara district","0-4 years","Total people, ethnic group","Female","1996",750,
"Auckland","0-4 years","Total people, ethnic group","Male","1996",46970,
"Auckland","0-4 years","Total people, ethnic group","Female","1996",44190,
"Thames-Coromandel district","0-4 years","Total people, ethnic group","Male","1996",890,
"Thames-Coromandel district","0-4 years","Total people, ethnic group","Female","1996",810,
"Hauraki district","0-4 years","Total people, ethnic group","Male","1996",860,
"Hauraki district","0-4 years","Total people, ethnic group","Female","1996",780,
"Waikato district","0-4 years","Total people, ethnic group","Male","1996",2440,
"Waikato district","0-4 years","Total people, ethnic group","Female","1996",2260,
"Matamata-Piako district","0-4 years","Total people, ethnic group","Male","1996",1380,
"Matamata-Piako district","0-4 years","Total people, ethnic group","Female","1996",1260,
"Hamilton city","0-4 years","Total people, ethnic group","Male","1996",4680,
"Hamilton city","0-4 years","Total people, ethnic group","Female","1996",4250,
"Waipa district","0-4 years","Total people, ethnic group","Male","1996",1570,
"Waipa district","0-4 years","Total people, ethnic group","Female","1996",1460,
"Otorohanga district","0-4 years","Total people, ethnic group","Male","1996",430,
"Otorohanga district","0-4 years","Total people, ethnic group","Female","1996",440,
"South Waikato district","0-4 years","Total people, ethnic group","Male","1996",1450,
"South Waikato district","0-4 years","Total people, ethnic group","Female","1996",1270,
"Waitomo district","0-4 years","Total people, ethnic group","Male","1996",480,
"Waitomo district","0-4 years","Total people, ethnic group","Female","1996",460,
"Taupo district","0-4 years","Total people, ethnic group","Male","1996",1440,
"Taupo district","0-4 years","Total people, ethnic group","Female","1996",1400,
"Western Bay of Plenty district","0-4 years","Total people, ethnic group","Male","1996",1470,
"Western Bay of Plenty district","0-4 years","Total people, ethnic group","Female","1996",1290,
"Tauranga city","0-4 years","Total people, ethnic group","Male","1996",2990,
"Tauranga city","0-4 years","Total people, ethnic group","Female","1996",2750,
"Rotorua district","0-4 years","Total people, ethnic group","Male","1996",3210,
"Rotorua district","0-4 years","Total people, ethnic group","Female","1996",2970,
"Whakatane district","0-4 years","Total people, ethnic group","Male","1996",1700,
"Whakatane district","0-4 years","Total people, ethnic group","Female","1996",1580,
"Kawerau district","0-4 years","Total people, ethnic group","Male","1996",490,
"Kawerau district","0-4 years","Total people, ethnic group","Female","1996",450,
"Opotiki district","0-4 years","Total people, ethnic group","Male","1996",540,
"Opotiki district","0-4 years","Total people, ethnic group","Female","1996",490,
"Gisborne district","0-4 years","Total people, ethnic group","Male","1996",2330,
"Gisborne district","0-4 years","Total people, ethnic group","Female","1996",2110,
"Wairoa district","0-4 years","Total people, ethnic group","Male","1996",510,
"Wairoa district","0-4 years","Total people, ethnic group","Female","1996",500,
"Hastings district","0-4 years","Total people, ethnic group","Male","1996",3040,
"Hastings district","0-4 years","Total people, ethnic group","Female","1996",2760,
"Napier city","0-4 years","Total people, ethnic group","Male","1996",2210,
"Napier city","0-4 years","Total people, ethnic group","Female","1996",1990,
"Central Hawke's Bay district","0-4 years","Total people, ethnic group","Male","1996",570,
"Central Hawke's Bay district","0-4 years","Total people, ethnic group","Female","1996",500,
"New Plymouth district","0-4 years","Total people, ethnic group","Male","1996",2690,
"New Plymouth district","0-4 years","Total people, ethnic group","Female","1996",2550,
"Stratford district","0-4 years","Total people, ethnic group","Male","1996",400,
"Stratford district","0-4 years","Total people, ethnic group","Female","1996",400,
"South Taranaki district","0-4 years","Total people, ethnic group","Male","1996",1350,
"South Taranaki district","0-4 years","Total people, ethnic group","Female","1996",1240,
"Ruapehu district","0-4 years","Total people, ethnic group","Male","1996",890,
"Ruapehu district","0-4 years","Total people, ethnic group","Female","1996",910,
"Wanganui district","0-4 years","Total people, ethnic group","Male","1996",1900,
"Wanganui district","0-4 years","Total people, ethnic group","Female","1996",1710,
"Rangitikei district","0-4 years","Total people, ethnic group","Male","1996",720,
"Rangitikei district","0-4 years","Total people, ethnic group","Female","1996",740,
"Manawatu district","0-4 years","Total people, ethnic group","Male","1996",1100,
"Manawatu district","0-4 years","Total people, ethnic group","Female","1996",1030,
"Palmerston North city","0-4 years","Total people, ethnic group","Male","1996",2920,
"Palmerston North city","0-4 years","Total people, ethnic group","Female","1996",2740,
"Tararua district","0-4 years","Total people, ethnic group","Male","1996",850,
"Tararua district","0-4 years","Total people, ethnic group","Female","1996",870,
"Horowhenua district","0-4 years","Total people, ethnic group","Male","1996",1250,
"Horowhenua district","0-4 years","Total people, ethnic group","Female","1996",1210,
"Kapiti Coast district","0-4 years","Total people, ethnic group","Male","1996",1390,
"Kapiti Coast district","0-4 years","Total people, ethnic group","Female","1996",1310,
"Porirua city","0-4 years","Total people, ethnic group","Male","1996",2430,
"Porirua city","0-4 years","Total people, ethnic group","Female","1996",2270,
