"Visitor arrivals by country of residence, purpose, age and sex (Qrtly-Mar/Jun/Sep/Dec)",,,,,,,,,,
,,,Holiday/Vacation,,,,,,,
 , , ,Australia,"China, People's Republic of",Japan,"Korea, Republic of",Germany,United Kingdom,Canada,United States of America
1978Q2,0-4 years,Female,276,0,8,0,0,8,4,40
 , ,Male,184,0,0,0,4,4,0,36
 ,5-9 years,Female,392,0,0,0,0,8,0,32
 , ,Male,392,0,0,0,0,4,4,24
 ,10-14 years,Female,436,0,4,0,0,4,0,24
 , ,Male,376,0,4,0,0,0,4,24
 ,15-19 years,Female,1116,0,0,0,0,0,12,48
 , ,Male,532,0,4,0,0,40,8,32
 ,20-24 years,Female,1532,0,36,0,4,44,80,124
 , ,Male,1284,0,20,0,0,44,80,156
 ,25-29 years,Female,988,0,56,0,0,36,52,156
 , ,Male,1112,8,72,0,16,60,60,224
 ,30-34 years,Female,708,0,4,0,8,40,32,204
 , ,Male,784,0,60,0,8,40,36,220
 ,35-39 years,Female,604,0,12,4,16,24,24,160
 , ,Male,616,4,68,4,36,36,16,220
 ,40-44 years,Female,712,0,20,0,4,12,8,200
 , ,Male,536,0,56,0,16,24,32,180
 ,45-49 years,Female,784,0,36,0,4,20,8,200
 , ,Male,656,0,56,0,8,20,20,240
 ,50-54 years,Female,840,4,48,0,12,52,28,316
 , ,Male,740,0,68,0,16,20,36,196
 ,55-59 years,Female,808,0,56,0,8,56,20,248
 , ,Male,756,0,72,4,8,28,12,260
 ,60-64 years,Female,648,0,48,0,8,32,32,284
 , ,Male,572,0,64,0,4,8,8,228
 ,65-69 years,Female,528,0,16,0,12,12,16,240
 , ,Male,428,4,72,0,8,4,12,200
 ,70-74 years,Female,320,0,20,0,0,4,8,124
 , ,Male,220,0,32,0,0,12,8,116
 ,75 years and over,Female,120,0,0,0,0,12,8,40
 , ,Male,160,0,8,0,0,4,0,40
1978Q3,0-4 years,Female,228,0,0,0,4,0,0,28
 , ,Male,148,0,0,0,0,12,8,20
 ,5-9 years,Female,344,0,0,0,0,12,12,44
 , ,Male,412,0,4,0,0,20,8,44
 ,10-14 years,Female,460,0,8,0,0,20,16,48
 , ,Male,608,0,8,0,0,20,8,60
 ,15-19 years,Female,1244,0,44,0,4,16,4,104
 , ,Male,748,0,32,0,4,40,16,64
 ,20-24 years,Female,1868,0,76,0,12,40,56,144
 , ,Male,2148,0,80,0,28,48,56,152
 ,25-29 years,Female,1296,0,72,0,24,32,84,200
 , ,Male,1748,0,108,8,20,32,44,208
 ,30-34 years,Female,928,0,52,0,16,24,64,168
 , ,Male,1092,0,116,12,48,44,36,180
 ,35-39 years,Female,696,0,24,0,32,32,28,132
 , ,Male,808,4,48,4,44,24,28,208
 ,40-44 years,Female,640,0,44,0,16,16,24,184
 , ,Male,632,0,80,0,24,40,28,204
 ,45-49 years,Female,636,0,24,0,8,12,12,228
 , ,Male,692,0,100,0,12,20,36,192
 ,50-54 years,Female,688,0,60,4,8,16,28,240
 , ,Male,616,0,72,0,24,12,20,244
 ,55-59 years,Female,496,0,72,4,16,28,36,276
 , ,Male,528,0,80,0,20,24,24,284
 ,60-64 years,Female,388,0,32,0,8,28,12,268
 , ,Male,364,4,72,0,16,12,24,192
 ,65-69 years,Female,284,0,32,0,4,16,16,204
 , ,Male,204,0,52,0,20,8,12,144
 ,70-74 years,Female,188,0,24,0,8,0,4,132
 , ,Male,132,0,20,0,12,16,0,68
 ,75 years and over,Female,124,0,8,0,4,0,8,60
 , ,Male,76,0,8,0,8,8,0,32
1978Q4,0-4 years,Female,508,0,0,4,0,28,12,44
 , ,Male,496,0,4,0,4,48,32,24
 ,5-9 years,Female,840,0,8,0,0,24,28,44
 , ,Male,824,0,0,0,8,44,28,68
 ,10-14 years,Female,1012,0,8,0,0,44,28,92
 , ,Male,1172,0,12,0,4,64,20,68
 ,15-19 years,Female,2260,0,8,0,8,28,52,104
 , ,Male,1320,0,12,0,8,48,28,76
 ,20-24 years,Female,3704,0,172,0,32,108,248,272
 , ,Male,3032,0,68,0,88,124,268,340
 ,25-29 years,Female,2092,0,236,0,64,156,224,428
 , ,Male,2392,0,264,0,40,196,196,468
 ,30-34 years,Female,1476,0,104,0,40,124,132,452
 , ,Male,1604,0,228,0,92,108,196,520
 ,35-39 years,Female,1188,8,44,4,60,100,64,356
 , ,Male,1252,0,140,4,80,100,60,448
 ,40-44 years,Female,1180,8,88,0,8,76,72,400
 , ,Male,1072,0,220,4,48,76,84,396
 ,45-49 years,Female,1408,8,116,0,32,72,80,456
 , ,Male,1112,4,344,0,52,56,68,372
 ,50-54 years,Female,1728,0,184,0,48,88,100,760
 , ,Male,1508,8,320,0,56,84,108,664
 ,55-59 years,Female,1628,4,168,0,52,132,152,752
 , ,Male,1296,12,216,8,56,88,84,704
 ,60-64 years,Female,1360,0,160,0,44,212,92,1024
 , ,Male,1084,8,232,0,40,132,72,776
 ,65-69 years,Female,1068,4,120,0,60,140,112,952
 , ,Male,852,4,220,0,36,120,60,684
 ,70-74 years,Female,540,0,56,0,24,64,52,588
 , ,Male,436,4,120,4,40,48,52,408
 ,75 years and over,Female,328,0,20,0,0,64,32,316
 , ,Male,224,0,72,0,0,52,24,256
1979Q1,0-4 years,Female,360,0,4,0,0,32,24,16
 , ,Male,356,0,4,0,4,16,36,40
 ,5-9 years,Female,536,4,4,0,0,20,20,36
 , ,Male,556,0,16,0,8,36,20,44
 ,10-14 years,Female,596,0,8,0,0,36,24,36
 , ,Male,732,0,8,0,4,28,12,60
 ,15-19 years,Female,1876,4,28,0,8,44,32,76
 , ,Male,1056,0,28,0,0,44,32,80
 ,20-24 years,Female,3136,0,144,0,36,132,272,288
 , ,Male,2608,4,164,0,48,104,220,344
 ,25-29 years,Female,1976,0,216,0,72,160,224,508
 , ,Male,1960,0,232,12,76,140,184,492
 ,30-34 years,Female,1316,0,64,4,76,144,136,284
 , ,Male,1476,0,188,4,100,156,100,404
 ,35-39 years,Female,1128,0,44,4,40,84,136,252
 , ,Male,1024,0,128,0,84,96,112,308
 ,40-44 years,Female,1296,0,72,0,40,120,80,372
 , ,Male,992,0,116,0,64,104,136,360
 ,45-49 years,Female,1504,0,112,4,24,60,136,400
 , ,Male,1204,0,176,4,24,80,140,392
 ,50-54 years,Female,1920,0,124,0,56,172,172,580
 , ,Male,1568,0,196,0,36,132,176,532
 ,55-59 years,Female,1816,0,120,0,56,192,252,856
 , ,Male,1420,0,204,0,68,172,208,736
 ,60-64 years,Female,1564,0,156,0,20,228,248,976
 , ,Male,1448,0,208,0,52,176,172,844
 ,65-69 years,Female,1256,0,92,0,40,144,252,952
 , ,Male,1108,0,168,0,72,152,164,720
 ,70-74 years,Female,668,0,32,0,32,68,124,564
 , ,Male,552,0,144,0,28,76,120,436
 ,75 years and over,Female,392,0,12,0,4,56,28,240
 , ,Male,312,0,60,0,4,52,52,228
1979Q2,0-4 years,Female,256,0,4,0,0,4,4,20
 , ,Male,304,0,4,0,0,4,4,12
 ,5-9 years,Female,520,0,4,0,0,12,8,12
 , ,Male,508,0,0,0,4,12,12,44
 ,10-14 years,Female,544,0,8,0,0,12,8,24
 , ,Male,548,0,8,0,4,4,4,32
 ,15-19 years,Female,1192,0,4,0,4,12,12,20
 , ,Male,640,0,4,0,4,28,24,52
 ,20-24 years,Female,1676,0,76,0,24,56,104,128
 , ,Male,1392,4,56,0,48,56,68,128
 ,25-29 years,Female,936,4,72,0,12,48,72,128
 , ,Male,1176,8,108,0,48,64,52,268
 ,30-34 years,Female,820,0,48,0,40,32,48,136
 , ,Male,1000,0,104,0,36,44,20,176
 ,35-39 years,Female,712,0,24,4,44,44,20,128
 , ,Male,788,0,116,8,44,16,24,188
 ,40-44 years,Female,672,0,40,0,32,28,20,144
 , ,Male,652,0,80,0,20,28,24,108
 ,45-49 years,Female,868,0,36,0,32,24,24,164
 , ,Male,828,0,136,4,24,24,24,204
 ,50-54 years,Female,908,0,60,0,36,20,24,212
 , ,Male,788,0,112,0,28,16,16,264
 ,55-59 years,Female,908,0,72,0,28,52,52,252
 , ,Male,736,4,100,0,20,24,28,244
 ,60-64 years,Female,816,0,84,0,20,28,4,256
 , ,Male,500,0,80,0,16,16,28,264
 ,65-69 years,Female,500,0,88,0,4,12,28,264
 , ,Male,436,0,56,0,24,12,8,164
 ,70-74 years,Female,356,0,32,0,8,8,12,132
 , ,Male,212,0,52,4,8,4,0,136
 ,75 years and over,Female,168,0,0,0,12,4,4,84
 , ,Male,184,0,28,0,4,4,0,48
1979Q3,0-4 years,Female,276,0,0,0,0,4,4,40
 , ,Male,244,0,0,0,4,12,8,16
 ,5-9 years,Female,476,0,4,0,0,12,4,36
 , ,Male,540,0,40,0,4,20,8,44
 ,10-14 years,Female,700,0,8,0,12,24,16,32
 , ,Male,996,0,116,0,0,16,4,56
 ,15-19 years,Female,1220,0,56,0,20,20,16,72
 , ,Male,1032,0,48,0,16,72,8,88
 ,20-24 years,Female,2056,4,140,0,32,52,60,188
 , ,Male,2296,4,100,0,68,88,52,212
 ,25-29 years,Female,1348,0,144,4,28,80,116,192
 , ,Male,1940,0,168,0,60,112,56,248
 ,30-34 years,Female,1028,0,80,4,24,64,40,196
 , ,Male,1176,4,148,0,40,88,64,248
 ,35-39 years,Female,796,0,56,0,28,68,40,124
 , ,Male,924,4,84,0,76,76,68,172
 ,40-44 years,Female,724,0,60,0,28,36,20,184
 , ,Male,793,0,100,4,28,48,60,176
 ,45-49 years,Female,848,0,56,4,12,28,8,160
 , ,Male,668,0,136,0,12,32,12,204
 ,50-54 years,Female,676,0,84,4,32,28,44,264
 , ,Male,676,4,120,0,32,48,20,184
 ,55-59 years,Female,744,0,80,0,8,28,40,352
 , ,Male,544,0,108,4,12,20,28,316
 ,60-64 years,Female,460,0,80,0,16,32,16,196
 , ,Male,392,0,60,0,8,8,16,240
 ,65-69 years,Female,316,0,36,0,16,32,20,240
 , ,Male,300,0,108,0,12,16,24,220
 ,70-74 years,Female,208,0,28,0,4,8,8,168
 , ,Male,164,0,48,0,8,28,8,68
 ,75 years and over,Female,112,0,8,0,0,16,4,52
 , ,Male,92,0,24,0,0,0,0,36
1979Q4,0-4 years,Female,444,0,4,0,0,36,20,48
 , ,Male,492,4,4,0,12,48,28,28
 ,5-9 years,Female,888,0,4,0,0,32,28,72
 , ,Male,808,0,0,0,4,36,32,72
 ,10-14 years,Female,964,0,12,4,4,60,28,76
 , ,Male,884,0,0,0,8,44,24,100
 ,15-19 years,Female,1964,0,28,0,0,56,60,96
 , ,Male,1188,0,16,0,12,64,40,92
 ,20-24 years,Female,3396,4,212,0,76,160,292,264
 , ,Male,2796,0,72,4,56,204,240,392
 ,25-29 years,Female,1720,0,304,0,88,244,172,500
 , ,Male,2008,0,320,0,124,236,204,540
 ,30-34 years,Female,1304,0,116,4,64,112,136,500
 , ,Male,1460,0,284,0,88,164,140,576
 ,35-39 years,Female,1072,0,80,0,68,64,104,380
 , ,Male,1184,0,200,0,120,100,104,536
 ,40-44 years,Female,1180,0,96,0,40,64,52,364
 , ,Male,1088,4,180,0,120,88,88,368
 ,45-49 years,Female,1416,12,152,0,8,88,68,452
 , ,Male,1112,8,172,4,76,80,60,460
 ,50-54 years,Female,1616,0,216,0,48,104,120,740
 , ,Male,1444,4,220,0,84,96,100,580
 ,55-59 years,Female,1728,0,252,4,72,120,140,964
 , ,Male,1324,8,196,0,48,120,152,848
 ,60-64 years,Female,1336,0,236,0,44,180,152,1316
 , ,Male,1160,12,236,0,68,116,140,1028
 ,65-69 years,Female,940,0,96,0,52,136,140,1408
 , ,Male,752,0,212,0,64,108,124,1072
 ,70-74 years,Female,704,0,80,0,16,112,80,996
 , ,Male,444,0,68,0,44,64,48,672
 ,75 years and over,Female,396,0,48,0,0,32,28,520
 , ,Male,212,0,40,0,8,52,32,300
1980Q1,0-4 years,Female,356,0,0,0,4,24,48,32
 , ,Male,252,0,4,0,20,20,16,72
 ,5-9 years,Female,416,0,0,0,12,24,20,88
 , ,Male,504,0,16,0,4,36,24,92
 ,10-14 years,Female,572,0,12,0,0,28,20,136
 , ,Male,680,0,12,0,0,32,16,80
 ,15-19 years,Female,1860,0,48,0,12,56,68,136
 , ,Male,908,4,16,0,12,64,56,100
 ,20-24 years,Female,2920,12,260,0,96,152,344,352
 , ,Male,2684,0,196,4,108,116,280,472
 ,25-29 years,Female,1680,0,288,0,136,148,312,652
 , ,Male,1932,0,296,12,128,156,280,688
 ,30-34 years,Female,1116,0,144,0,72,132,164,576
 , ,Male,1300,0,236,8,168,176,272,744
 ,35-39 years,Female,972,8,76,0,100,80,136,576
 , ,Male,1072,4,264,4,160,84,156,604
 ,40-44 years,Female,1160,4,68,0,40,92,156,528
 , ,Male,1008,4,224,8,108,92,128,648
 ,45-49 years,Female,1360,0,120,0,40,92,212,732
