"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Arrivals","","","","","","","","","","","","","","","","","","","","","","","",""
" "," "," ",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Female","Far North District","0-4 years",16,17,19,13,14,15,19,13,13,10,12,13,7,19,21,15,20,16,15,11,16,10,26,27,24
" "," ","5-9 years",18,8,11,7,12,19,19,12,11,10,10,16,6,13,18,20,19,15,19,17,10,20,16,21,28
" "," ","10-14 years",10,8,10,10,7,12,16,7,6,12,17,9,4,15,26,11,17,10,18,11,14,17,17,17,19
" "," ","15-19 years",17,21,23,16,21,11,21,21,18,17,15,20,20,15,19,22,25,21,19,16,22,17,19,25,25
" "," ","20-24 years",24,29,23,26,26,26,27,21,32,22,25,35,19,23,28,14,32,41,36,36,30,27,43,34,54
" "," ","25-29 years",34,29,30,33,46,47,52,38,48,35,31,34,33,47,40,34,53,47,50,45,43,40,37,52,61
" "," ","30-34 years",30,15,21,23,28,18,17,13,17,16,25,30,41,29,32,36,35,25,30,21,27,22,27,35,34
" "," ","35-39 years",19,13,11,14,11,24,30,15,20,17,14,23,15,29,15,21,19,20,21,15,22,12,21,15,14
" "," ","40-44 years",13,17,14,13,15,12,13,9,10,15,13,18,6,18,24,23,23,14,14,22,20,13,15,17,17
" "," ","45-49 years",7,8,15,9,14,12,11,8,12,7,12,9,18,14,21,15,15,14,17,19,10,11,9,23,22
" "," ","50-54 years",3,5,6,12,8,11,8,8,7,6,11,17,9,10,12,13,13,14,18,9,14,13,11,21,23
" "," ","55-59 years",5,6,2,6,6,9,5,5,8,6,5,8,10,10,8,11,11,9,10,11,14,7,9,16,16
" "," ","60-64 years",1,2,2,4,3,4,4,2,2,6,3,5,7,7,11,11,9,7,9,16,11,17,14,20,14
