"Permanent & long-term migration by age, sex and NZ area (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Departures","","","","","","","","","","","","","","","","","","","","","","","",""
" "," "," ",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Female","Far North District","0-4 years",12,8,12,14,9,14,21,13,21,22,24,8,10,22,24,23,19,33,27,22,31,51,32,18,21
" "," ","5-9 years",10,7,8,7,12,15,7,12,18,27,19,14,9,17,15,15,20,27,25,24,18,29,29,11,16
" "," ","10-14 years",4,10,9,15,7,13,21,13,16,21,16,18,15,23,24,15,25,24,17,23,32,33,23,14,8
" "," ","15-19 years",33,30,18,31,23,31,28,29,43,53,21,27,29,32,57,42,53,60,53,51,56,73,66,42,43
" "," ","20-24 years",45,40,35,42,69,61,51,40,50,55,49,43,49,52,57,55,74,88,55,66,86,90,80,58,58
" "," ","25-29 years",24,29,19,23,20,34,30,40,39,46,44,45,41,43,49,45,50,61,40,57,61,68,47,40,35
" "," ","30-34 years",11,11,7,15,18,14,8,13,17,24,26,13,20,16,20,15,25,43,31,25,36,26,29,22,14
" "," ","35-39 years",8,5,9,11,6,15,15,18,24,26,17,10,9,15,20,15,23,28,14,30,23,34,21,9,13
" "," ","40-44 years",6,13,7,13,6,7,21,11,9,16,14,12,17,17,23,15,20,31,15,22,26,22,17,10,13
" "," ","45-49 years",7,10,9,11,11,11,14,14,16,13,15,9,14,13,16,12,11,23,17,18,25,33,28,12,14
" "," ","50-54 years",10,3,9,8,4,9,19,5,19,15,11,16,12,7,11,10,15,15,17,17,17,31,17,16,4
" "," ","55-59 years",8,2,5,11,5,11,12,5,2,11,5,6,3,8,4,6,14,15,8,9,12,20,7,8,9
" "," ","60-64 years",1,4,5,5,5,9,4,4,5,3,1,7,5,8,6,3,5,2,4,5,6,8,3,7,10
" "," ","65-69 years",0,2,7,6,6,1,5,4,3,4,4,3,0,4,2,1,1,2,0,2,2,6,2,8,4
" "," ","70-74 years",1,2,0,2,0,4,6,3,1,1,1,1,2,3,1,1,0,1,2,1,2,2,3,4,2
" "," ","75 years and over",4,3,6,0,3,1,2,4,2,0,1,2,1,1,4,1,3,4,1,1,1,0,2,4,0
