"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-01","Jan-1996","IDX","Index","0","units","2010_100","2010=100",74.1577413453991,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-02","Feb-1996","IDX","Index","0","units","2010_100","2010=100",74.448225295577,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-03","Mar-1996","IDX","Index","0","units","2010_100","2010=100",75.1322681459957,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-04","Apr-1996","IDX","Index","0","units","2010_100","2010=100",75.3571589461334,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-05","May-1996","IDX","Index","0","units","2010_100","2010=100",75.1791203960244,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-06","Jun-1996","IDX","Index","0","units","2010_100","2010=100",74.8605250958294,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-07","Jul-1996","IDX","Index","0","units","2010_100","2010=100",75.0666749959556,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-08","Aug-1996","IDX","Index","0","units","2010_100","2010=100",74.9729704958982,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-09","Sep-1996","IDX","Index","0","units","2010_100","2010=100",75.657013346317,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-10","Oct-1996","IDX","Index","0","units","2010_100","2010=100",75.835051896426,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-11","Nov-1996","IDX","Index","0","units","2010_100","2010=100",75.7507178463743,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1996-12","Dec-1996","IDX","Index","0","units","2010_100","2010=100",75.6757542463284,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-01","Jan-1997","IDX","Index","0","units","2010_100","2010=100",75.7881996463973,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-02","Feb-1997","IDX","Index","0","units","2010_100","2010=100",75.9381268464891,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-03","Mar-1997","IDX","Index","0","units","2010_100","2010=100",76.509724296839,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-04","Apr-1997","IDX","Index","0","units","2010_100","2010=100",76.5846878968849,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-05","May-1997","IDX","Index","0","units","2010_100","2010=100",76.7533559969881,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-06","Jun-1997","IDX","Index","0","units","2010_100","2010=100",76.3785379967587,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-07","Jul-1997","IDX","Index","0","units","2010_100","2010=100",76.650281046925,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-08","Aug-1997","IDX","Index","0","units","2010_100","2010=100",76.8564309470512,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-09","Sep-1997","IDX","Index","0","units","2010_100","2010=100",77.5498442474758,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-10","Oct-1997","IDX","Index","0","units","2010_100","2010=100",77.6248078475216,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-11","Nov-1997","IDX","Index","0","units","2010_100","2010=100",77.6622896475446,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1997-12","Dec-1997","IDX","Index","0","units","2010_100","2010=100",77.4280283974012,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-01","Jan-1998","IDX","Index","0","units","2010_100","2010=100",77.1750262472463,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-02","Feb-1998","IDX","Index","0","units","2010_100","2010=100",77.6060669475102,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-03","Mar-1998","IDX","Index","0","units","2010_100","2010=100",78.252627997906,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-04","Apr-1998","IDX","Index","0","units","2010_100","2010=100",78.4400369980207,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-05","May-1998","IDX","Index","0","units","2010_100","2010=100",78.3650733979748,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-06","Jun-1998","IDX","Index","0","units","2010_100","2010=100",78.037107647774,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-07","Jul-1998","IDX","Index","0","units","2010_100","2010=100",78.2057757478773,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-08","Aug-1998","IDX","Index","0","units","2010_100","2010=100",78.2057757478773,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-09","Sep-1998","IDX","Index","0","units","2010_100","2010=100",78.8617072482789,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-10","Oct-1998","IDX","Index","0","units","2010_100","2010=100",79.0397457983879,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-11","Nov-1998","IDX","Index","0","units","2010_100","2010=100",79.0303753483821,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1998-12","Dec-1998","IDX","Index","0","units","2010_100","2010=100",78.8054845482444,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1999-01","Jan-1999","IDX","Index","0","units","2010_100","2010=100",78.8617072482789,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1999-02","Feb-1999","IDX","Index","0","units","2010_100","2010=100",79.2552661485198,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1999-03","Mar-1999","IDX","Index","0","units","2010_100","2010=100",79.9393089989386,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1999-04","Apr-1999","IDX","Index","0","units","2010_100","2010=100",80.1079770990418,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1999-05","May-1999","IDX","Index","0","units","2010_100","2010=100",80.136088449059,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1999-06","Jun-1999","IDX","Index","0","units","2010_100","2010=100",79.8268635988697,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1999-07","Jul-1999","IDX","Index","0","units","2010_100","2010=100",79.7706408988353,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1999-08","Aug-1999","IDX","Index","0","units","2010_100","2010=100",80.2204224991107,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","ST","Level, ratio or index","M","Monthly","1999-09","Sep-1999","IDX","Index","0","units","2010_100","2010=100",80.5952404993401,,
