random_ID,surf_ID,age_category,sex,ethnicity,highest_qualification,weekly_hours,weekly_income
1,1,45,F,european/pakeha,post-school,28,240
2,1,40,F,european/pakeha,school,38,530
3,1,45,F,maori,no qual,40,480
4,1,45,M,european/pakeha,school,40,420
5,1,45,M,maori,no qual,40,570
6,1,40,F,maori,school,52,850
7,1,30,M,european/pakeha,school,23,520
8,1,50,F,european/pakeha,no qual,40,690
9,1,25,F,european/pakeha,vocational/trade,37,560
10,1,25,M,maori,vocational/trade,45,530
11,1,30,M,european/pakeha,vocational/trade,40,960
12,1,30,F,european/pakeha,vocational/trade,9,480
13,1,35,F,european/pakeha,school,38,530
14,1,60,M,european/pakeha,school,42,1980
15,1,30,M,european/pakeha,school,40,1220
16,1,45,F,european/pakeha,school,27,380
17,1,30,M,european/pakeha,vocational/trade,40,1490
18,1,30,F,european/pakeha,vocational/trade,7,430
19,1,40,F,european/pakeha,post-school,25,580
20,1,25,F,european/pakeha,school,29,270
21,1,55,M,pacific,no qual,52,640
22,1,45,F,european/pakeha,no qual,40,630
23,1,55,F,european/pakeha,school,40,640
24,1,30,M,european/pakeha,bachelor or higher,38,880
25,1,50,F,european/pakeha,vocational/trade,5,190
26,1,60,M,european/pakeha,post-school,8,380
27,1,45,F,european/pakeha,vocational/trade,38,690
28,1,35,M,european/pakeha,vocational/trade,45,680
29,1,30,M,other,school,25,420
30,1,40,F,european/pakeha,school,27,460
31,1,30,F,maori,vocational/trade,14,330
32,1,40,M,european/pakeha,vocational/trade,48,940
33,1,30,M,european/pakeha,bachelor or higher,40,600
34,1,25,M,european/pakeha,post-school,43,810
35,1,30,F,european/pakeha,school,8,120
36,1,35,F,non-maori combination,vocational/trade,10,460
37,1,25,F,european/pakeha,vocational/trade,19,200
38,1,25,M,european/pakeha,school,14,250
39,1,35,M,maori,no qual,26,240
40,1,60,M,maori combination,school,76,1190
41,1,45,M,european/pakeha,bachelor or higher,50,3680
42,1,35,M,european/pakeha,vocational/trade,32,780
43,1,60,F,european/pakeha,vocational/trade,11,360
44,1,25,F,european/pakeha,bachelor or higher,37,1100
45,1,35,M,european/pakeha,vocational/trade,36,1210
46,1,55,F,pacific,vocational/trade,30,200
47,1,60,F,european/pakeha,post-school,29,290
48,1,55,M,european/pakeha,school,39,710
49,1,45,F,european/pakeha,vocational/trade,30,300
50,1,55,F,european/pakeha,school,38,800
51,1,35,F,european/pakeha,school,28,380
52,1,40,F,european/pakeha,school,40,590
53,1,30,F,european/pakeha,school,35,360
54,1,40,M,maori,bachelor or higher,25,1180
55,1,55,M,european/pakeha,vocational/trade,40,460
56,1,30,F,maori,no qual,18,270
57,1,35,M,other,bachelor or higher,56,540
58,1,30,M,european/pakeha,vocational/trade,43,1040
59,1,60,F,european/pakeha,no qual,59,680
60,1,50,M,european/pakeha,vocational/trade,40,620
61,1,30,M,european/pakeha,bachelor or higher,45,1170
62,1,25,M,european/pakeha,post-school,49,830
63,1,30,M,european/pakeha,bachelor or higher,40,780
64,1,30,F,european/pakeha,vocational/trade,40,880
65,1,50,M,other,vocational/trade,39,1280
66,1,55,M,european/pakeha,no qual,29,490
67,1,25,F,other,school,27,300
68,1,30,F,european/pakeha,school,40,790
69,1,30,F,european/pakeha,vocational/trade,24,600
70,1,45,M,other,vocational/trade,28,530
71,1,60,F,european/pakeha,vocational/trade,31,1080
72,1,25,M,maori,vocational/trade,46,150
73,1,25,M,european/pakeha,school,43,570
74,1,25,M,european/pakeha,vocational/trade,31,1260
75,1,50,F,maori,school,35,1090
76,1,25,F,other,school,23,470
77,1,25,F,european/pakeha,vocational/trade,10,400
78,1,35,F,european/pakeha,vocational/trade,20,620
79,1,50,F,european/pakeha,no qual,24,170
80,1,25,F,european/pakeha,vocational/trade,14,160
81,1,35,M,european/pakeha,vocational/trade,40,1220
82,1,30,M,european/pakeha,post-school,44,980
83,1,50,M,european/pakeha,vocational/trade,40,890
