"MYE2: Population Estimates by single year of age and sex for local authorities in the UK, mid-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,NAME,ALL AGES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
K02000001,UNITED KINGDOM,"64,596,752","778,251","799,621","827,810","817,697","802,891","795,324","801,637","774,826","758,634","728,839","715,877","695,519","684,828","703,511","722,259","745,697","755,727","778,221","780,339","789,696","826,183","835,921","870,717","897,123","884,129","877,614","887,712","868,725","877,159","881,213","861,437","869,648","869,983","877,393","877,919","841,891","785,408","773,763","788,896","804,224","818,564","855,344","892,834","922,376","901,358","924,631","925,281","938,242","938,073","946,383","937,364","918,421","898,805","868,959","834,517","816,849","798,506","769,807","742,481","715,276","716,770","707,768","687,557","692,968","706,535","723,570","761,552","823,706","636,577","616,437","614,023","572,276","511,490","460,765","475,011","469,138","453,973","428,671","405,665","382,728","351,569","331,075","317,563","296,566","271,259","240,515","211,902","189,458","167,104","143,408","550,820"
K03000001,GREAT BRITAIN,"62,756,254","753,996","774,786","802,080","792,085","777,542","769,632","775,979","750,376","735,290","706,133","693,396","673,568","662,770","681,214","699,097","721,494","731,218","753,352","755,650","765,958","802,191","812,245","846,209","872,451","859,440","853,059","862,861","843,724","852,126","856,271","836,786","845,233","845,581","852,472","852,891","818,050","762,501","751,117","766,150","780,890","794,542","830,481","867,617","896,600","875,608","898,540","898,704","911,726","911,510","919,374","910,803","892,484","873,553","844,089","810,652","793,655","775,683","747,907","721,451","695,232","697,095","688,551","669,111","674,472","688,045","705,342","743,353","805,540","619,774","599,862","597,606","556,524","497,492","448,167","462,873","456,983","442,581","417,713","395,501","373,203","342,852","322,698","309,853","289,402","264,823","234,717","206,871","184,943","163,287","140,163","538,782"
K04000001,ENGLAND AND WALES,"57,408,654","697,813","717,402","743,077","731,084","719,256","709,836","716,270","693,077","679,134","650,372","638,713","620,519","609,986","626,214","642,714","662,930","671,384","691,529","693,488","700,070","732,405","740,343","769,591","795,593","786,063","780,202","789,508","772,803","781,742","786,228","768,972","776,409","775,861","783,144","784,895","752,419","701,376","690,972","702,444","716,540","729,222","761,120","793,841","819,907","799,870","819,777","818,410","830,790","831,144","836,055","828,481","810,389","793,357","765,797","734,922","718,435","702,589","676,654","652,449","629,148","631,867","624,503","607,406","612,134","625,554","641,331","677,476","734,310","565,948","549,229","546,155","507,206","452,410","406,555","420,701","416,017","403,059","380,522","360,032","339,937","312,287","294,490","282,672","264,809","242,927","215,312","190,230","170,093","150,189","129,328","499,230"
E92000001,ENGLAND,"54,316,618","664,183","682,703","707,024","694,107","682,940","673,956","679,645","657,784","644,277","616,703","605,945","588,343","577,811","592,716","608,240","627,179","634,876","653,269","655,753","659,877","688,589","696,363","725,657","751,543","744,265","739,681","750,246","734,985","744,417","749,053","733,085","740,124","739,988","746,297","747,715","717,222","668,867","658,257","669,407","682,251","693,835","723,529","753,580","777,644","758,816","776,700","775,852","787,049","787,545","791,217","783,475","766,662","749,793","723,407","693,951","678,012","662,868","637,850","615,181","592,670","594,213","586,924","570,678","574,970","587,146","601,943","635,751","690,209","531,985","515,573","512,750","475,767","423,577","380,351","394,967","390,814","378,656","357,814","338,316","319,358","293,318","276,571","266,116","249,473","228,883","202,900","179,149","160,080","141,345","121,637","470,405"
E12000001,NORTH EAST,"2,618,710","28,902","29,850","30,932","31,144","30,786","29,994","30,552","29,380","29,659","27,941","27,465","26,765","26,314","27,070","28,087","29,015","29,975","31,166","32,157","36,030","38,507","38,017","39,164","38,104","35,587","34,201","34,200","33,000","33,791","33,169","31,856","31,892","31,561","32,012","32,338","30,903","27,966","27,158","28,680","29,247","29,678","31,818","34,450","36,565","35,187","35,727","36,484","37,623","38,453","39,300","38,929","39,101","38,591","37,003","36,064","36,367","36,168","34,549","33,137","31,796","31,810","31,410","30,394","30,771","31,306","31,956","33,612","36,356","27,468","26,653","25,830","23,246","21,464","20,036","20,932","20,946","20,515","19,213","17,599","17,100","15,499","14,631","13,848","12,947","11,625","10,067","8,673","7,663","6,891","5,854","20,868"
E06000047,County Durham,"517,773","5,448","5,673","5,725","6,030","5,960","5,657","5,869","5,681","5,592","5,426","5,176","5,137","4,932","5,147","5,373","5,635","5,897","5,942","6,172","7,385","8,080","7,711","7,935","7,363","6,705","5,967","5,860","5,694","6,234","6,207","5,889","6,171","6,098","6,038","6,062","5,810","5,290","5,131","5,423","5,636","5,735","6,356","6,834","7,438","7,052","7,464","7,642","7,741","7,958","8,036","8,012","7,872","7,676","7,337","7,043","7,310","7,105","6,975","6,702","6,574","6,456","6,474","6,338","6,455","6,556","6,773","6,964","7,710","5,864","5,817","5,680","4,969","4,579","4,302","4,380","4,259","4,185","3,995","3,573","3,456","3,072","2,879","2,642","2,535","2,212","1,986","1,660","1,508","1,378","1,132","3,961"
E06000005,Darlington,"105,367","1,204","1,307","1,361","1,295","1,324","1,316","1,287","1,265","1,327","1,224","1,242","1,195","1,137","1,124","1,202","1,276","1,307","1,307","1,256","1,063","1,031",981,"1,200","1,308","1,196","1,234","1,263","1,262","1,255","1,272","1,344","1,254","1,240","1,331","1,356","1,317","1,203","1,181","1,226","1,301","1,340","1,343","1,458","1,550","1,575","1,446","1,464","1,582","1,620","1,622","1,536","1,595","1,564","1,536","1,398","1,432","1,435","1,311","1,317","1,198","1,229","1,251","1,187","1,218","1,218","1,293","1,296","1,475","1,142","1,131","1,035",895,859,828,850,912,823,773,723,707,621,608,536,485,436,436,371,360,323,286,964
E06000001,Hartlepool,"92,590","1,065","1,076","1,160","1,200","1,156","1,157","1,163","1,162","1,145","1,055","1,013","1,016",970,"1,071","1,118","1,122","1,113","1,201","1,188","1,166","1,105","1,031","1,231","1,236","1,157","1,137","1,269","1,221","1,160","1,148","1,172","1,094","1,098","1,056","1,091","1,022",925,948,956,963,"1,028","1,157","1,198","1,301","1,265","1,220","1,285","1,400","1,410","1,463","1,391","1,449","1,447","1,406","1,269","1,336","1,225","1,224","1,121","1,136","1,035","1,100","1,104","1,061","1,088","1,160","1,157","1,203",932,885,820,739,751,648,731,736,723,739,614,631,592,558,541,448,429,360,307,258,251,223,698
E06000002,Middlesbrough,"139,119","1,966","2,032","1,996","2,034","1,889","1,783","1,847","1,770","1,826","1,674","1,657","1,510","1,509","1,585","1,611","1,614","1,681","1,817","1,870","2,155","2,560","2,550","2,530","2,321","2,216","2,204","2,188","1,908","1,965","1,880","1,817","1,798","1,709","1,729","1,679","1,603","1,506","1,428","1,489","1,543","1,554","1,607","1,695","1,781","1,730","1,638","1,769","1,771","1,875","1,993","1,882","1,868","2,008","1,883","1,796","1,774","1,818","1,759","1,641","1,601","1,540","1,537","1,402","1,407","1,383","1,354","1,487","1,553","1,179","1,119","1,075","1,025",992,935,924,935,974,882,819,790,708,714,620,640,570,455,402,349,302,248,907
E06000057,Northumberland,"315,987","2,836","3,058","3,202","3,275","3,332","3,271","3,457","3,181","3,394","3,285","3,384","3,225","3,333","3,309","3,405","3,623","3,603","3,621","3,623","3,063","2,721","2,972","3,370","3,433","3,262","3,211","3,426","3,175","3,234","3,319","3,068","3,153","3,203","3,242","3,480","3,425","3,072","3,097","3,273","3,379","3,467","3,705","3,997","4,462","4,184","4,352","4,438","4,695","4,729","5,092","5,072","4,973","4,953","4,874","4,978","4,986","4,874","4,628","4,613","4,408","4,526","4,391","4,366","4,513","4,572","4,681","5,161","5,382","4,102","4,061","3,942","3,603","3,084","2,935","2,966","2,941","2,785","2,653","2,440","2,420","2,108","2,019","1,895","1,744","1,586","1,383","1,195","1,114",977,812,"3,155"
E06000003,Redcar and Cleveland,"135,042","1,477","1,584","1,633","1,655","1,568","1,455","1,535","1,525","1,618","1,427","1,420","1,354","1,345","1,414","1,512","1,578","1,571","1,653","1,680","1,486","1,504","1,545","1,712","1,617","1,589","1,594","1,606","1,631","1,626","1,573","1,458","1,402","1,535","1,465","1,498","1,319","1,342","1,257","1,363","1,350","1,459","1,592","1,741","1,812","1,782","1,895","1,860","2,023","2,148","2,014","2,060","2,115","2,071","1,873","1,939","1,930","1,886","1,764","1,762","1,620","1,702","1,700","1,623","1,662","1,723","1,848","1,913","2,105","1,671","1,594","1,557","1,380","1,371","1,240","1,288","1,302","1,191","1,137","1,031",972,812,802,757,708,691,586,480,417,378,374,"1,205"
E06000004,Stockton-on-Tees,"194,119","2,298","2,477","2,542","2,558","2,574","2,479","2,558","2,416","2,423","2,286","2,272","2,164","2,071","2,124","2,234","2,316","2,284","2,389","2,351","2,397","2,428","2,476","2,638","2,526","2,533","2,467","2,536","2,535","2,630","2,664","2,590","2,492","2,536","2,489","2,507","2,345","2,180","2,110","2,235","2,215","2,294","2,386","2,671","2,740","2,789","2,712","2,804","2,841","2,932","2,884","2,823","2,943","2,912","2,747","2,677","2,579","2,644","2,551","2,348","2,262","2,349","2,228","2,185","2,108","2,172","2,167","2,298","2,448","1,851","1,746","1,745","1,563","1,503","1,363","1,373","1,456","1,363","1,279","1,234","1,160","1,051",994,986,949,818,614,590,460,415,378,"1,389"
