contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2 Deaths (numbers): area of usual residence, by age and sex, 2014 registrations,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England and Wales
"England and Wales, England, regions, unitary authorities/counties/districts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area of usual residence,All Ages,,Under 1,, 1 ­ 4,,5­9,, 10-14,,15-19,,20-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70-74,,75-79,,80-84,,85-89,,90 and over,
,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND AND WALES1       ,"245,142","256,282","1,460","1,229",271,198,162,130,173,119,536,293,959,413,"1,196",558,"1,523",861,"2,017","1,198","3,282","2,125","5,108","3,286","7,076","4,856","9,689","6,501","14,289","9,677","21,901","14,938","26,311","19,268","34,589","27,917","41,831","41,029","40,126","50,909","32,643","70,777"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND                           ,"229,116","239,759","1,371","1,177",256,190,151,121,167,112,497,277,902,383,"1,103",525,"1,428",819,"1,898","1,144","3,059","1,997","4,784","3,088","6,635","4,513","9,042","6,014","13,276","8,988","20,326","13,889","24,440","17,918","32,202","26,074","39,236","38,381","37,630","47,699","30,713","66,450"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALES                             ,"15,341","16,098",78,45,8,5,5,5,3,5,28,15,44,25,70,25,75,37,100,49,203,114,285,178,391,319,589,450,939,639,"1,485",995,"1,797","1,298","2,319","1,800","2,539","2,607","2,468","3,181","1,915","4,306"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH EAST                        ,"13,234","13,654",67,52,12,7,5,5,5,5,23,17,68,17,81,24,95,63,127,78,207,117,289,190,403,280,574,422,860,585,"1,319",903,"1,435","1,121","1,965","1,632","2,277","2,325","1,998","2,658","1,424","3,153"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham     ,"2,615","2,733",10,13,3,0,0,2,0,1,6,3,19,3,18,5,21,6,24,20,35,20,62,42,70,47,109,88,167,129,271,209,308,241,388,341,461,454,394,526,249,583
Darlington                  ,546,541,4,0,1,0,0,1,0,0,1,1,3,0,3,2,2,5,3,2,6,5,8,9,18,10,30,17,29,25,55,35,50,41,88,57,80,74,87,110,78,147
Hartlepool                   ,486,486,3,4,0,0,0,0,0,0,1,1,2,0,2,1,2,0,9,1,8,3,10,7,14,10,17,21,38,27,48,32,50,27,66,77,96,85,65,91,55,99
