"LOCATION","Country","SEX","Sex","AGE","Age","VAR","Variant","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1950","1950","PER","Persons","3","thousands",,,620.109,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1951","1951","PER","Persons","3","thousands",,,615.503,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1952","1952","PER","Persons","3","thousands",,,593.193,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1953","1953","PER","Persons","3","thousands",,,578.857,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1954","1954","PER","Persons","3","thousands",,,571.75,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1955","1955","PER","Persons","3","thousands",,,570.36,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1956","1956","PER","Persons","3","thousands",,,572.011,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1957","1957","PER","Persons","3","thousands",,,574.082,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1958","1958","PER","Persons","3","thousands",,,579.303,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1959","1959","PER","Persons","3","thousands",,,586.412,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1960","1960","PER","Persons","3","thousands",,,591.3695,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1961","1961","PER","Persons","3","thousands",,,597.595,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1962","1962","PER","Persons","3","thousands",,,605.037,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1963","1963","PER","Persons","3","thousands",,,611.743,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1964","1964","PER","Persons","3","thousands",,,617.6785,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1965","1965","PER","Persons","3","thousands",,,622.118,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1966","1966","PER","Persons","3","thousands",,,622.178,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1967","1967","PER","Persons","3","thousands",,,618.8665,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1968","1968","PER","Persons","3","thousands",,,613.9895,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1969","1969","PER","Persons","3","thousands",,,610.0485,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1970","1970","PER","Persons","3","thousands",,,608.019,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1971","1971","PER","Persons","3","thousands",,,604.5235,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1972","1972","PER","Persons","3","thousands",,,596.4315,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1973","1973","PER","Persons","3","thousands",,,580.261,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1974","1974","PER","Persons","3","thousands",,,555.022,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1975","1975","PER","Persons","3","thousands",,,525.892,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1976","1976","PER","Persons","3","thousands",,,499.2605,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1977","1977","PER","Persons","3","thousands",,,476.605,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1978","1978","PER","Persons","3","thousands",,,461.606,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1979","1979","PER","Persons","3","thousands",,,454.2005,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1980","1980","PER","Persons","3","thousands",,,453.175,,
"NLD","Netherlands","MA","Males","D199L500","Population (hist&proj)  00-04","VAR1","Baseline","1981","1981","PER","Persons","3","thousands",,,454.3745,,
