Population by age and sex (thousands),,,,,,
Location,ISO 3166-1 numeric code,Note,Time,Age,Female,Male
World,900,,,,,
   Asia,935,,,,,
      South-Central Asia,921,,,,,
         Southern Asia,5501,,,,,
            India,356,,2010,0-4,   60 787,   67 698
            India,356,,2010,5-9,   60 267,   67 353
            India,356,,2010,10-14,   58 820,   65 378
            India,356,,2010,15-19,   56 748,   62 650
            India,356,,2010,20-24,   54 770,   59 528
            India,356,,2010,25-29,   50 755,   54 965
            India,356,,2010,30-34,   44 652,   48 131
            India,356,,2010,35-39,   39 796,   42 812
            India,356,,2010,40-44,   35 221,   37 726
            India,356,,2010,45-49,   31 227,   33 329
            India,356,,2010,50-54,   26 998,   28 627
            India,356,,2010,55-59,   22 792,   23 835
            India,356,,2010,60-64,   16 706,   16 469
            India,356,,2010,65-69,   12 707,   12 078
            India,356,,2010,70-74,   9 509,   8 530
            India,356,,2010,75-79,   5 955,   5 203
            India,356,,2010,80-84,   3 095,   2 661
            India,356,,2010,85-89,   1 304,   1 036
            India,356,,2010,90-94,    416,    288
            India,356,,2010,95-99,    91,    52
            India,356,,2010,100+,    13,    6
