Area,Age,Sex,Year at 30 June,Value,Flags
"Northland region","0-4 Years","Male","2006",5350,
"Northland region","0-4 Years","Male","2007",5500,
"Northland region","0-4 Years","Male","2008",5690,
"Northland region","0-4 Years","Male","2009",5900,
"Northland region","0-4 Years","Male","2010",6130,
"Northland region","0-4 Years","Male","2011",6280,
"Northland region","0-4 Years","Male","2012",6260,
"Northland region","0-4 Years","Male","2013",6280,
"Northland region","0-4 Years","Male","2014",6080,
"Northland region","0-4 Years","Female","2006",5270,
"Northland region","0-4 Years","Female","2007",5450,
"Northland region","0-4 Years","Female","2008",5590,
"Northland region","0-4 Years","Female","2009",5650,
"Northland region","0-4 Years","Female","2010",5750,
"Northland region","0-4 Years","Female","2011",5830,
"Northland region","0-4 Years","Female","2012",5790,
"Northland region","0-4 Years","Female","2013",5900,
"Northland region","0-4 Years","Female","2014",5830,
"Auckland region","0-4 Years","Male","2006",50910,
"Auckland region","0-4 Years","Male","2007",52820,
"Auckland region","0-4 Years","Male","2008",54530,
"Auckland region","0-4 Years","Male","2009",55500,
"Auckland region","0-4 Years","Male","2010",56850,
"Auckland region","0-4 Years","Male","2011",57550,
"Auckland region","0-4 Years","Male","2012",57680,
"Auckland region","0-4 Years","Male","2013",56590,
"Auckland region","0-4 Years","Male","2014",56720,
"Auckland region","0-4 Years","Female","2006",48040,
"Auckland region","0-4 Years","Female","2007",49580,
"Auckland region","0-4 Years","Female","2008",51270,
"Auckland region","0-4 Years","Female","2009",52320,
"Auckland region","0-4 Years","Female","2010",53660,
"Auckland region","0-4 Years","Female","2011",54310,
"Auckland region","0-4 Years","Female","2012",54330,
"Auckland region","0-4 Years","Female","2013",53270,
"Auckland region","0-4 Years","Female","2014",53300,
"Waikato region","0-4 Years","Male","2006",14320,
"Waikato region","0-4 Years","Male","2007",14500,
"Waikato region","0-4 Years","Male","2008",15000,
"Waikato region","0-4 Years","Male","2009",15600,
"Waikato region","0-4 Years","Male","2010",15960,
"Waikato region","0-4 Years","Male","2011",16310,
"Waikato region","0-4 Years","Male","2012",16400,
"Waikato region","0-4 Years","Male","2013",16360,
"Waikato region","0-4 Years","Male","2014",16120,
"Waikato region","0-4 Years","Female","2006",14030,
"Waikato region","0-4 Years","Female","2007",14320,
"Waikato region","0-4 Years","Female","2008",14610,
"Waikato region","0-4 Years","Female","2009",14940,
"Waikato region","0-4 Years","Female","2010",15260,
