Area,Grouped total personal income,Ethnic group,Sex,Value,Flags
"Total, New Zealand by territorial authority/area unit","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",3376416,
"Total, New Zealand by territorial authority/area unit","$5,000 or less","Total people, ethnic group","Total people, sex",446472,
"Total, New Zealand by territorial authority/area unit","$5,001 - $10,000","Total people, ethnic group","Total people, sex",164967,
"Total, New Zealand by territorial authority/area unit","$10,001 - $20,000","Total people, ethnic group","Total people, sex",554031,
"Total, New Zealand by territorial authority/area unit","$20,001 - $30,000","Total people, ethnic group","Total people, sex",417993,
"Total, New Zealand by territorial authority/area unit","$30,001 - $50,000","Total people, ethnic group","Total people, sex",652278,
"Total, New Zealand by territorial authority/area unit","$50,001 or more","Total people, ethnic group","Total people, sex",814749,
"Total, New Zealand by territorial authority/area unit","Total people stated","Total people, ethnic group","Total people, sex",3050490,
"Northland Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",118941,
"Northland Region","$5,000 or less","Total people, ethnic group","Total people, sex",13935,
"Northland Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",5988,
"Northland Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",24963,
"Northland Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",16938,
"Northland Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",20958,
"Northland Region","$50,001 or more","Total people, ethnic group","Total people, sex",20199,
"Northland Region","Total people stated","Total people, ethnic group","Total people, sex",102978,
"Auckland Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",1119195,
"Auckland Region","$5,000 or less","Total people, ethnic group","Total people, sex",181011,
"Auckland Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",55425,
"Auckland Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",154389,
"Auckland Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",115746,
"Auckland Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",203670,
"Auckland Region","$50,001 or more","Total people, ethnic group","Total people, sex",293103,
"Auckland Region","Total people stated","Total people, ethnic group","Total people, sex",1003344,
"Waikato Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",316155,
"Waikato Region","$5,000 or less","Total people, ethnic group","Total people, sex",39267,
"Waikato Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",15006,
"Waikato Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",55281,
"Waikato Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",40590,
"Waikato Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",63084,
"Waikato Region","$50,001 or more","Total people, ethnic group","Total people, sex",71496,
"Waikato Region","Total people stated","Total people, ethnic group","Total people, sex",284724,
"Bay of Plenty Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",210018,
"Bay of Plenty Region","$5,000 or less","Total people, ethnic group","Total people, sex",23958,
"Bay of Plenty Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",9798,
"Bay of Plenty Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",39747,
"Bay of Plenty Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",30357,
"Bay of Plenty Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",40620,
"Bay of Plenty Region","$50,001 or more","Total people, ethnic group","Total people, sex",42549,
"Bay of Plenty Region","Total people stated","Total people, ethnic group","Total people, sex",187029,
"Gisborne Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",32925,
"Gisborne Region","$5,000 or less","Total people, ethnic group","Total people, sex",3972,
