"Country or Area","Year","Area","Sex","Age of mother","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Russian Federation","2011","Total","Male","Total","Data tabulated by year of occurrence","Final figure, complete","2012","923804","1"
"Russian Federation","2011","Total","Male","12","Data tabulated by year of occurrence","Final figure, complete","2012","2","1"
"Russian Federation","2011","Total","Male","13","Data tabulated by year of occurrence","Final figure, complete","2012","26","1"
"Russian Federation","2011","Total","Male","14","Data tabulated by year of occurrence","Final figure, complete","2012","146","1"
"Russian Federation","2011","Total","Male","15","Data tabulated by year of occurrence","Final figure, complete","2012","854","1"
"Russian Federation","2011","Total","Male","16","Data tabulated by year of occurrence","Final figure, complete","2012","3016","1"
"Russian Federation","2011","Total","Male","17","Data tabulated by year of occurrence","Final figure, complete","2012","7455","1"
"Russian Federation","2011","Total","Male","18","Data tabulated by year of occurrence","Final figure, complete","2012","15449","1"
"Russian Federation","2011","Total","Male","19","Data tabulated by year of occurrence","Final figure, complete","2012","26388","1"
"Russian Federation","2011","Total","Male","20","Data tabulated by year of occurrence","Final figure, complete","2012","36438","1"
"Russian Federation","2011","Total","Male","21","Data tabulated by year of occurrence","Final figure, complete","2012","45020","1"
"Russian Federation","2011","Total","Male","22","Data tabulated by year of occurrence","Final figure, complete","2012","52306","1"
"Russian Federation","2011","Total","Male","23","Data tabulated by year of occurrence","Final figure, complete","2012","60882","1"
"Russian Federation","2011","Total","Male","24","Data tabulated by year of occurrence","Final figure, complete","2012","67439","1"
"Russian Federation","2011","Total","Male","25","Data tabulated by year of occurrence","Final figure, complete","2012","67138","1"
"Russian Federation","2011","Total","Male","26","Data tabulated by year of occurrence","Final figure, complete","2012","65337","1"
"Russian Federation","2011","Total","Male","27","Data tabulated by year of occurrence","Final figure, complete","2012","64494","1"
"Russian Federation","2011","Total","Male","28","Data tabulated by year of occurrence","Final figure, complete","2012","60653","1"
"Russian Federation","2011","Total","Male","29","Data tabulated by year of occurrence","Final figure, complete","2012","53628","1"
"Russian Federation","2011","Total","Male","30","Data tabulated by year of occurrence","Final figure, complete","2012","48652","1"
"Russian Federation","2011","Total","Male","31","Data tabulated by year of occurrence","Final figure, complete","2012","44271","1"
"Russian Federation","2011","Total","Male","32","Data tabulated by year of occurrence","Final figure, complete","2012","38841","1"
"Russian Federation","2011","Total","Male","33","Data tabulated by year of occurrence","Final figure, complete","2012","34286","1"
"Russian Federation","2011","Total","Male","34","Data tabulated by year of occurrence","Final figure, complete","2012","29468","1"
"Russian Federation","2011","Total","Male","35","Data tabulated by year of occurrence","Final figure, complete","2012","25479","1"
"Russian Federation","2011","Total","Male","36","Data tabulated by year of occurrence","Final figure, complete","2012","21191","1"
"Russian Federation","2011","Total","Male","37","Data tabulated by year of occurrence","Final figure, complete","2012","16346","1"
"Russian Federation","2011","Total","Male","38","Data tabulated by year of occurrence","Final figure, complete","2012","12563","1"
"Russian Federation","2011","Total","Male","39","Data tabulated by year of occurrence","Final figure, complete","2012","9253","1"
"Russian Federation","2011","Total","Male","40","Data tabulated by year of occurrence","Final figure, complete","2012","6330","1"
"Russian Federation","2011","Total","Male","41","Data tabulated by year of occurrence","Final figure, complete","2012","4108","1"
"Russian Federation","2011","Total","Male","42","Data tabulated by year of occurrence","Final figure, complete","2012","2523","1"
"Russian Federation","2011","Total","Male","43","Data tabulated by year of occurrence","Final figure, complete","2012","1402","1"
"Russian Federation","2011","Total","Male","44","Data tabulated by year of occurrence","Final figure, complete","2012","805","1"
"Russian Federation","2011","Total","Male","45","Data tabulated by year of occurrence","Final figure, complete","2012","353","1"
"Russian Federation","2011","Total","Male","46","Data tabulated by year of occurrence","Final figure, complete","2012","168","1"
"Russian Federation","2011","Total","Male","47","Data tabulated by year of occurrence","Final figure, complete","2012","85","1"
"Russian Federation","2011","Total","Male","48","Data tabulated by year of occurrence","Final figure, complete","2012","43","1"
"Russian Federation","2011","Total","Male","49","Data tabulated by year of occurrence","Final figure, complete","2012","31","1"
"Russian Federation","2011","Total","Male","50 +","Data tabulated by year of occurrence","Final figure, complete","2012","65","1"
"Russian Federation","2011","Total","Male","Unknown","Data tabulated by year of occurrence","Final figure, complete","2012","870","1"
"Russian Federation","2011","Total","Female","Total","Data tabulated by year of occurrence","Final figure, complete","2012","872825","1"
"Russian Federation","2011","Total","Female","12","Data tabulated by year of occurrence","Final figure, complete","2012","3","1"
"Russian Federation","2011","Total","Female","13","Data tabulated by year of occurrence","Final figure, complete","2012","20","1"
"Russian Federation","2011","Total","Female","14","Data tabulated by year of occurrence","Final figure, complete","2012","154","1"
