,,,,,,,,,,,,
Contents,"Birth Summary Tables, England and Wales 2014",,,,,,,,,,,
,,,,,,,,,,,,
Metadata,Information on birth statistics,,,,,,,,,,,
,,,,,,,,,,,,
Glossary,Definitions of terminology,,,,,,,,,,,
,,,,,,,,,,,,
Terms and conditions,Terms and conditions,,,,,,,,,,,
,,,,,,,,,,,,
Table 1,"Summary of key birth statistics, 1938 to 2014",,,,,,,,,,,
,,,,,,,,,,,,
Table 2a,"Live births by age of mother, 1938 to 2014",,,,,,,,,,,
,,,,,,,,,,,,
Table 2b,"Age-specific fertility rates, 1981 to 2014",,,,,,,,,,,
,,,,,,,,,,,,
Table 3,"Live births by area of usual residence of mother, numbers, General Fertility Rates and Total Fertility Rates, 2014",,,,,,,,,,,
,,,,,,,,,,,,
Related publications,Provides links to further birth statistics,,,,,,,,,,,
