Contents,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 1 Summary of key live birth statistics, 1938 to 2014",,,,,,,,,,,England and Wales,,,,
,,,,,,,,,,,,,,,
Year,Number of live births,Total Fertility Rate (TFR)1,"General Fertility Rate (GFR): all live births per 1,000 women aged 15 to 44","Crude Birth Rate (CBR): all births per 1,000 population of all ages",Number of maternities,Number of stillbirths,"Sex ratio: live male births per 1,000 live female births",Mean age of mother at childbirth (years)2,Percentage of live births outside marriage,Percentage of live births to non-UK born mothers,"Live births within marriage per 1,000 married women aged 15 to 443,4","Live births outside marriage per 1,000 unmarried women aged 15 to 443,4",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2014,"695,233",1.83,62.1,12.1,"687,346","3,254","1,054",30.2,47.5,27.0,88.4,50.2,,,
2013,"698,512",1.85,62.2,12.3,"690,820","3,284","1,054",30.0,47.4,26.5,86.3,51.1,,,
2012,"729,674",1.94,64.8,12.9,"721,574","3,558","1,054",29.8,47.5,25.9,89.9,53.6,,,
2011,"723,913",1.93,64.0,12.9,"716,040","3,811","1,051",29.7,47.2,25.5,90.9,52.2,,,
2010,"723,165",1.94,64.0,13.0,"715,467","3,714","1,053",29.5,46.8,25.1,88.9,53.3,,,
2009,"706,248",1.90,62.5,12.8,"698,324","3,688","1,052",29.4,46.2,24.7,86.0,51.9,,,
2008,"708,711",1.92,62.7,12.9,"701,297","3,617","1,050",29.3,45.3,24.1,87.1,51.5,,,
2007,"690,013",1.88,61.2,12.7,"682,999","3,598","1,057",29.3,44.3,23.2,85.4,49.8,,,
2006,"669,601",1.83,59.6,12.4,"662,915","3,602","1,047",29.2,43.5,21.9,83.0,48.4,,,
2005,"645,835",1.77,57.9,12.1,"639,627","3,483","1,049",29.1,42.8,20.8,79.5,47.4,,,
2004,"639,721",1.77,57.9,12.0,"633,728","3,686","1,054",29.0,42.2,19.5,79.4,47.5,,,
2003,"621,469",1.72,56.6,11.8,"615,787","3,612","1,051",28.8,41.4,18.6,77.3,46.3,,,
2002,"596,122",1.64,54.6,11.3,"590,453","3,372","1,055",28.7,40.6,17.7,74.3,44.7,,,
2001,"594,634",1.63,54.7,11.4,"588,868","3,159","1,050",28.6,40.0,16.5,77.3,38.0,,,
2000,"604,441",1.65,55.9,11.6,"598,580","3,203","1,050",28.5,39.5,15.5,77.9,39.0,,,
1999,"621,872",1.70,57.8,12.0,"615,994","3,305","1,055",28.4,38.9,14.3,79.6,40.4,,,
1998,"635,901",1.73,59.2,12.3,"629,926","3,417","1,051",28.3,37.8,13.6,81.3,40.9,,,
1997,"643,095",1.73,60.0,12.5,"637,001","3,439","1,051",28.3,37.0,13.1,81.6,41.3,,,
1996,"649,485",1.74,60.6,12.6,"643,862","3,539","1,055",28.2,35.8,12.8,82.2,41.2,,,
1995,"648,138",1.72,60.5,12.6,"642,404","3,600","1,051",28.2,33.9,12.6,82.7,39.7,,,
1994,"664,726",1.75,62.0,13.0,"659,545","3,813","1,055",28.1,32.4,12.4,84.6,39.8,,,
