Sweden, Exposure to risk (period 1x1)     Last modified: 02-Sep-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
   1751        0        28214.05     28626.58     56840.63 
   1751        1        26035.03     25682.81     51717.85 
   1751        2        25880.11     25504.40     51384.51 
   1751        3        23917.92     23500.67     47418.58 
   1751        4        19876.49     19373.38     39249.87 
   1751        5        18069.18     17539.21     35608.38 
   1751        6        18051.53     17716.63     35768.16 
   1751        7        17969.14     17912.86     35882.00 
   1751        8        18115.02     18276.11     36391.13 
   1751        9        18515.36     18800.71     37316.07 
   1751       10        18505.14     18675.48     37180.62 
   1751       11        17954.22     17886.97     35841.18 
   1751       12        17322.98     17127.26     34450.24 
   1751       13        16689.95     16450.93     33140.88 
   1751       14        16140.99     15907.71     32048.70 
   1751       15        16203.55     15743.08     31946.63 
   1751       16        16741.36     15912.12     32653.48 
   1751       17        17016.72     15906.30     32923.02 
   1751       18        17152.60     15525.90     32678.49 
   1751       19        17307.70     14968.11     32275.81 
   1751       20        17115.33     14479.39     31594.71 
   1751       21        16627.88     14054.87     30682.75 
   1751       22        16218.95     13772.78     29991.73 
   1751       23        15898.01     13782.11     29680.12 
   1751       24        15537.16     13821.80     29358.96 
   1751       25        15320.01     13829.11     29149.12 
   1751       26        15358.54     13885.70     29244.24 
   1751       27        15395.01     13812.16     29207.17 
   1751       28        15390.89     13693.83     29084.72 
   1751       29        15296.54     13593.10     28889.64 
   1751       30        14725.04     13124.55     27849.60 
   1751       31        13753.72     12289.69     26043.41 
   1751       32        12770.30     11465.77     24236.07 
   1751       33        11813.53     10734.49     22548.02 
   1751       34        10955.35     10102.04     21057.39 
   1751       35        10648.10      9873.71     20521.81 
   1751       36        10922.23     10062.83     20985.06 
   1751       37        11288.95     10285.33     21574.28 
   1751       38        11701.36     10468.73     22170.09 
   1751       39        12062.57     10547.08     22609.65 
   1751       40        11679.85     10079.10     21758.96 
   1751       41        10703.18      9234.48     19937.66 
   1751       42         9820.49      8546.09     18366.58 
   1751       43         8973.35      7950.53     16923.88 
   1751       44         8137.80      7345.02     15482.81 
   1751       45         7890.74      7113.12     15003.86 
   1751       46         8328.60      7373.73     15702.33 
   1751       47         8928.37      7729.47     16657.85 
   1751       48         9675.99      8163.28     17839.27 
   1751       49        10493.35      8597.01     19090.36 
   1751       50        10365.54      8380.13     18745.66 
   1751       51         9311.34      7535.87     16847.21 
   1751       52         8281.95      6643.98     14925.92 
   1751       53         7333.77      5791.50     13125.27 
   1751       54         6465.72      5038.33     11504.05 
   1751       55         6156.59      4724.62     10881.21 
   1751       56         6432.94      4845.66     11278.60 
   1751       57         6833.32      5049.44     11882.76 
   1751       58         7429.40      5315.51     12744.91 
   1751       59         8212.68      5600.18     13812.86 
   1751       60         8532.21      5627.67     14159.88 
   1751       61         8305.07      5434.27     13739.34 
   1751       62         7901.73      5196.41     13098.14 
   1751       63         7276.38      4889.20     12165.58 
   1751       64         6537.64      4573.58     11111.22 
   1751       65         6026.68      4305.39     10332.07 
   1751       66         5823.37      4103.40      9926.78 
   1751       67         5685.29      3920.99      9606.28 
   1751       68         5577.10      3735.45      9312.55 
   1751       69         5475.98      3521.90      8997.88 
   1751       70         5083.68      3211.76      8295.45 
   1751       71         4398.76      2830.62      7229.38 
   1751       72         3731.97      2452.48      6184.45 
   1751       73         3087.66      2072.32      5159.97 
   1751       74         2485.12      1707.23      4192.35 
   1751       75         2118.19      1445.17      3563.36 
   1751       76         1976.61      1294.55      3271.16 
   1751       77         1882.71      1182.98      3065.69 
   1751       78         1839.56      1106.03      2945.59 
   1751       79         1786.41      1052.81      2839.22 
   1751       80         1638.91       966.81      2605.72 
   1751       81         1429.59       839.84      2269.43 
   1751       82         1224.50       715.06      1939.56 
   1751       83         1028.06       597.24      1625.30 
   1751       84          849.81       491.06      1340.86 
   1751       85          698.16       398.36      1096.52 
   1751       86          570.58       323.06       893.64 
   1751       87          464.14       265.53       729.66 
   1751       88          379.39       218.62       598.00 
   1751       89          312.64       177.95       490.60 
   1751       90          251.48       141.63       393.11 
   1751       91          197.36       111.60       308.96 
   1751       92          152.87        87.01       239.88 
   1751       93          116.78        67.26       184.03 
   1751       94           88.09        51.81       139.90 
   1751       95           65.69        39.58       105.27 
   1751       96           48.18        29.68        77.85 
   1751       97           34.64        21.66        56.30 
   1751       98           24.68        15.67        40.35 
   1751       99           17.20        11.31        28.51 
   1751      100           11.64         7.90        19.54 
   1751      101            7.83         5.26        13.09 
   1751      102            4.91         3.45         8.36 
   1751      103            2.71         2.36         5.07 
   1751      104            1.35         1.33         2.68 
   1751      105            0.63         0.49         1.12 
   1751      106            0.33         0.14         0.47 
   1751      107            0.05         0.00         0.05 
   1751      108            0.00         0.00         0.00 
   1751      109            0.00         0.00         0.00 
   1751      110+           0.00         0.00         0.00 
   1752        0        27339.47     28094.97     55434.44 
   1752        1        26150.03     25779.34     51929.37 
   1752        2        25767.88     25409.61     51177.49 
   1752        3        25885.28     25523.33     51408.61 
   1752        4        21572.30     21101.03     42673.33 
   1752        5        17968.57     17428.59     35397.16 
   1752        6        18086.16     17629.24     35715.39 
   1752        7        18157.93     17903.74     36061.67 
   1752        8        18134.98     18169.36     36304.34 
   1752        9        18317.47     18578.04     36895.50 
   1752       10        18737.98     19130.57     37868.55 
   1752       11        18092.20     18205.86     36298.07 
   1752       12        17550.27     17434.87     34985.14 
   1752       13        16930.15     16692.85     33623.00 
   1752       14        16310.67     16035.61     32346.28 
   1752       15        15774.57     15509.74     31284.30 
   1752       16        16348.56     15641.27     31989.83 
   1752       17        16897.69     15812.30     32709.99 
   1752       18        17179.94     15805.26     32985.20 
   1752       19        17316.14     15420.64     32736.77 
   1752       20        17470.54     14854.70     32325.24 
   1752       21        16895.28     14355.27     31250.55 
   1752       22        16408.02     13925.17     30333.19 
   1752       23        15998.78     13639.59     29638.38 
   1752       24        15677.12     13647.33     29324.45 
   1752       25        15314.68     13686.60     29001.29 
   1752       26        15340.05     13837.33     29177.38 
   1752       27        15373.89     13894.80     29268.69 
   1752       28        15404.88     13820.21     29225.09 
   1752       29        15393.77     13698.26     29092.03 
   1752       30        15291.43     13594.31     28885.73 
   1752       31        14361.09     12858.41     27219.51 
   1752       32        13402.41     12031.82     25434.23 
   1752       33        12436.42     11218.93     23655.35 
   1752       34        11502.61     10500.51     22003.13 
   1752       35        10670.37      9882.24     20552.62 
   1752       36        10761.20      9949.63     20710.83 
   1752       37        11045.79     10144.43     21190.22 
   1752       38        11419.82     10370.77     21790.59 
   1752       39        11833.05     10553.70     22386.76 
   1752       40        12191.00     10627.98     22818.97 
   1752       41        11226.91      9754.90     20981.81 
   1752       42        10270.18      8922.44     19192.61 
   1752       43         9411.25      8245.80     17657.05 
   1752       44         8593.18      7662.38     16255.56 
   1752       45         7792.38      7070.67     14863.05 
   1752       46         8050.32      7164.14     15214.46 
   1752       47         8507.27      7428.17     15935.44 
   1752       48         9126.28      7787.59     16913.87 
   1752       49         9889.83      8221.53     18111.36 
   1752       50        10723.48      8655.66     19379.14 
   1752       51         9833.95      7961.84     17795.79 
   1752       52         8809.14      7136.12     15945.26 
   1752       53         7815.71      6272.55     14088.26 
   1752       54         6907.93      5455.88     12363.81 
   1752       55         6081.50      4741.86     10823.35 
   1752       56         6261.38      4750.20     11011.58 
   1752       57         6545.95      4879.53     11425.48 
   1752       58         6948.64      5084.56     12033.20 
   1752       59         7542.61      5343.49     12886.10 
   1752       60         8325.70      5614.39     13940.09 
   1752       61         8085.22      5345.38     13430.60 
   1752       62         7842.19      5138.98     12981.17 
   1752       63         7433.01      4896.48     12329.49 
   1752       64         6819.21      4596.04     11415.25 
   1752       65         6103.96      4295.44     10399.40 
   1752       66         5823.10      4094.50      9917.60 
   1752       67         5619.29      3900.18      9519.47 
   1752       68         5474.99      3719.28      9194.28 
   1752       69         5354.86      3529.13      8884.00 
   1752       70         5237.42      3306.42      8543.84 
   1752       71         4610.73      2938.35      7549.08 
   1752       72         3944.76      2561.62      6506.38 
   1752       73         3306.65      2195.14      5501.79 
   1752       74         2700.77      1834.47      4535.23 
   1752       75         2145.09      1495.59      3640.68 
   1752       76         1967.90      1310.64      3278.54 
   1752       77         1841.80      1173.94      3015.75 
   1752       78         1756.79      1071.91      2828.69 
   1752       79         1716.63      1000.10      2716.73 
   1752       80         1664.62       980.18      2644.80 
   1752       81         1452.24       852.11      2304.35 
   1752       82         1244.27       727.82      1972.09 
   1752       83         1047.87       608.90      1656.77 
   1752       84          867.44       500.12      1367.56 
   1752       85          711.24       405.45      1116.69 
   1752       86          584.24       325.68       909.92 
   1752       87          477.77       261.66       739.44 
   1752       88          388.34       213.68       602.02 
   1752       89          316.52       174.55       491.08 
   1752       90          252.69       138.69       391.38 
   1752       91          197.86       108.63       306.49 
   1752       92          153.08        84.08       237.16 
   1752       93          116.81        64.32       181.13 
   1752       94           87.81        48.76       136.57 
   1752       95           65.15        36.92       102.07 
   1752       96           47.78        27.73        75.52 
   1752       97           34.41        20.38        54.78 
   1752       98           24.21        14.45        38.66 
   1752       99           16.90        10.16        27.06 
   1752      100           11.49         7.15        18.64 
   1752      101            7.51         4.81        12.32 
   1752      102            4.90         3.00         7.90 
   1752      103            2.86         1.81         4.67 
   1752      104            1.30         1.20         2.49 
   1752      105            0.48         0.55         1.03 
   1752      106            0.13         0.14         0.27 
   1752      107            0.00         0.00         0.00 
   1752      108            0.00         0.00         0.00 
   1752      109            0.00         0.00         0.00 
   1752      110+           0.00         0.00         0.00 
   1753        0        27268.88     27987.80     55256.68 
   1753        1        26357.49     25990.44     52347.93 
